set,sentence,position,surface,gold,observed,target
overrides,"Muss man ja. Aber Sie auch, wenn Sie so'n Job machen hier, das finde ich toll! - Danke schön!",initial,muss,müssen,,0
overrides,Irgendjemand muss ja auf dich aufpassen.,mid,muss,müssen,,1
overrides,"Aber wer krank ist, muss doch nicht fasten.",mid,muss,müssen,,5
overrides,"Ich will morgen zurück zur Firma, ich muss etwas überprüfen.",mid,muss,müssen,,8
overrides,"Musst du nicht arbeiten oder so? Nö, ich habe doch Urlaub.",initial,musst,müssen,,0
overrides,"Die zeigt dir, wann du wieder zur Hauptuntersuchung musst.",mid,musst,müssen,,9
overrides,"Um eine Steuererklärung mit WISO Steuer erstellen zu können, musst du als Erstes einen kostenlosen Account erstellen.",mid,musst,müssen,,10
overrides,"Du musst mir das nicht noch unter die Nase reiben!“ Das bedeutet also: Du musst mich nicht noch daran erinnern, dass meine Frisur schlecht aussieht.",mid,musst,müssen,,1
overrides,Soll ich für dich gucken?,initial,soll,sollen,,0
overrides,Wo soll's denn mit eurer Forschung oder auch mit dem Sojaanbau in Deutschland allgemein hingehen?,mid,soll,sollen,,-1
overrides,Oh. Soll ich es für dich halten?,mid,soll,sollen,,2
overrides,"Als wäre das nicht kompliziert genug, gibt es noch eine Art Aufseher von außerhalb, der schaut, ob im Land alles so läuft, wie es soll.",mid,soll,sollen,,28
overrides,Hab schon viel von Ihnen gehört.,initial,hab,haben,,0
overrides,Ich hab mich gefragt: Warum ist uns das vergleichsweise so egal?,mid,hab,haben,,1
overrides,"Nein, ich hab heute Spätschicht.",mid,hab,haben,,3
overrides,"Ich hab' keine Ah... ich hab' keine Ahnung, I have no... I have no idea, 300 Euro vielleicht, 400, 500 Euro.",mid,hab,haben,,1
overrides,Lass gerne ein Abo da und gib mir einen Daumen nach oben.,initial,lass,lassen,,0
overrides,Ist heute anscheinend der lass es dir eine Lehre sein Tag. verflucht.,mid,lass,lassen,,4
overrides,Bitte lass meine Eltern endlich gehen.,mid,lass,lassen,,1
overrides,"Okay, lass uns schnell zu Österreich.",mid,lass,lassen,,2
overrides,"Sag ihm, wer du wirklich bist!",initial,sag,sagen,,0
overrides,Ich sag dir was das ist und du musst das mit Akkusativ beantworten.,mid,sag,sagen,,1
overrides,"Wenn ich dir irgendwie helfen kann, dann sag es mir gerne.",mid,sag,sagen,,8
overrides,Haha. Es ist ein Adjektiv. - Sag doch mal 'n Satz.,mid,sag,sagen,,8
overrides,Hör auf die Vielleicht würdest du es ja auch gerne mal mit Lany treiben.,initial,hör,hören,,0
overrides,"Okay, keine Angst, ich hör auf.",mid,hör,hören,,6
overrides,Gewöhn dir das ab! Hör auf damit!,mid,hör,hören,,5
overrides,"Gu Yan, hör mir zu, ich.",mid,hör,hören,,3
overrides,Mach ihr schaff Fleisch aus dir.,initial,mach,machen,,0
overrides,Langsam mach ich mir Sorgen.,mid,mach,machen,,1
overrides,Ich mach Ihnen den Kaffee gleich fertig.,mid,mach,machen,,1
