# Compound nouns, and the words they are made of.
#
# One line per compound: the word, a tab, then its parts. A sentence saying a
# compound listed ABOVE THE MARKER counts as saying its parts instead, so a
# reader who knows `krank` and `haus` can read `Krankenhaus` without it being
# taught as a word of its own.
#
# ONLY LINES ABOVE THE MARKER COUNT. Below it these are guesses, made by
# cutting wherever both halves are words the corpus says at least thirty
# times. Check each one; delete what is wrong; move the marker down. Nothing
# unverified ever reaches the corpus.
#
# Nouns only, decided by capitalisation -- German writes its nouns with a
# capital, so a lemma whose surfaces are 80% capitalised is one. That test
# removes the family that made the earlier version unusable: separable verb
# prefixes split cleanly and mean something else entirely (ueberleben is not
# ueber + leben, uebernehmen is not ueber + nehmen), and adverbs like
# vielleicht and teilweise merely look compound.
#
# Two filters came before it, each fixing the version above:
#   parts must be words the corpus says 30+ times, or `politisch` comes out
#   as `polit` + `isch` and a hundred rejections sit at the top;
#   parts must not be suffixes, or every `-lich` and `-ung` word decomposes.
#
# Ordered by how often the corpus says each word, most frequent first, so the
# checking pays earliest. The number after each line is that count.








jahrhundert	jahr hundert	# 534
weltkrieg	welt krieg	# 442
krankenhaus	krank haus	# 313
bundesland	bund land	# 311
gegenteil	gegen teil	# 309  <- decomposes, but the meaning is a stretch
hintergrund	hinter grund	# 283
bundesregierung	bund regierung	# 261
videobeschreibung	video beschreibung	# 261
bundestagswahl	bundestag wahl	# 252
flugzeug	flug zeug	# 234  <- decomposes, but the meaning is a stretch
beispielsatz	beispiel satz	# 223
bundesrepublik	bund republik	# 220
bundeskanzler	bund kanzler	# 214
zeitpunkt	zeit punkt	# 214
wahlprogramm	wahl programm	# 203
fußball	fuss ball	# 202
herausforderung	heraus forderung	# 202  <- decomposes, but the meaning is a stretch
kilometer	kilo meter	# 197  <- decomposes, but the meaning is a stretch
zusammenarbeit	zusammen arbeit	# 193
klimawandel	klima wandel	# 181
plattform	platt form	# 172  <- decomposes, but the meaning is a stretch
supermarkt	super markt	# 162
umgangssprache	umgang sprache	# 161  <- decomposes, but the meaning is a stretch
fernsehen	fern sehen	# 159  <- decomposes, but the meaning is a stretch
immunsystem	immun system	# 147
fortschritt	fort schritt	# 141  <- decomposes, but the meaning is a stretch
grundgesetz	grund gesetz	# 136
nebenwirkung	neben wirkung	# 134
wahlkampf	wahl kampf	# 132
flughafen	flug hafen	# 130
ministerpräsident	minister präsident	# 127
netzwerk	netz werk	# 126
grundlage	grund lage	# 125  <- decomposes, but the meaning is a stretch
hausaufgabe	haus aufgabe	# 123
untertitel	unter titel	# 120
zeitraum	zeit raum	# 120  <- decomposes, but the meaning is a stretch
geheimdienst	geheim dienst	# 118
werkzeug	werk zeug	# 110  <- decomposes, but the meaning is a stretch
kaiserreich	kaiser reich	# 108
landwirtschaft	land wirtschaft	# 107
nebensatz	neben satz	# 106  <- decomposes, but the meaning is a stretch
verfassungsschutz	verfassung schutz	# 105
atomwaffe	atom waffe	# 103
großteil	gross teil	# 102
fahrzeug	fahr zeug	# 101  <- decomposes, but the meaning is a stretch
mittelalter	mittel alter	# 100
wohnzimmer	wohn zimmer	# 100
bewusstsein	bewusst sein	# 95  <- decomposes, but the meaning is a stretch
abendessen	abend essen	# 94
deutschlernen	deutsch lernen	# 94  <- decomposes, but the meaning is a stretch
haushalt	haus halt	# 93  <- decomposes, but the meaning is a stretch
bürgerkrieg	bürger krieg	# 92
freizeit	frei zeit	# 88
arbeitsplatz	arbeit platz	# 84
nachmittag	nach mittag	# 82
wiedervereinigung	wieder vereinigung	# 82
klimaschutz	klima schutz	# 71
sonnensystem	sonne system	# 70
angriffskrieg	angriff krieg	# 67
atombombe	atom bombe	# 67
nationalsozialismus	national sozialismus	# 67
minderheitsregierung	minderheit regierung	# 62
kulturschock	kultur schock	# 60
koalitionsvertrag	koalition vertrag	# 58
mittagessen	mittag essen	# 58
nationalstaat	national staat	# 56
arbeitsmarkt	arbeit markt	# 52
kopfschmerz	kopf schmerz	# 52
meinungsfreiheit	meinung freiheit	# 49
volksrepublik	volk republik	# 47
regierungschef	regierung chef	# 46
reichspräsident	reich präsident	# 45
mittagspause	mittag pause	# 42
kriegsverbrechen	krieg verbrechen	# 40
geschäftsführer	geschäft führer	# 38
arbeitsbedingung	arbeit bedingung	# 37
bildungssystem	bildung system	# 37
arbeitszeit	arbeit zeit	# 35
regierungszeit	regierung zeit	# 34
staatsbürger	staat bürger	# 34
arbeitsgruppe	arbeit gruppe	# 33
nahrungsmittel	nahrung mittel	# 33
volksabstimmung	volk abstimmung	# 33
bundestagsabgeordneter	bundestag abgeordneter	# 32
regierungspartei	regierung partei	# 32
sicherheitspolitik	sicherheit politik	# 32
verteidigungsfall	verteidigung fall	# 32
lebensstil	leben stil	# 31
staatsanwalt	staat anwalt	# 31
gesundheitssystem	gesundheit system	# 30
lieblingsessen	liebling essen	# 29
friedensvertrag	frieden vertrag	# 28
zweifelsfall	zweifel fall	# 28
berufsleben	beruf leben	# 26
staatsgebiet	staat gebiet	# 26
verkehrsmittel	verkehr mittel	# 26
vorstellungsgespräch	vorstellung gespräch	# 26
menschheitsgeschichte	menschheit geschichte	# 25
vertrauensfrage	vertrauen frage	# 25
übungsaufgabe	übung aufgabe	# 25
verteidigungsbündnis	verteidigung bündnis	# 24
migrationshintergrund	migration hintergrund	# 23
mitgliedsstaat	mitglied staat	# 23
staatssicherheit	staat sicherheit	# 23
arbeitsvertrag	arbeit vertrag	# 22
gesprächspartner	gespräch partner	# 22
kriegsführung	krieg führung	# 22
staatschef	staat chef	# 22
altersgruppe	alter gruppe	# 21
arbeitskraft	arbeit kraft	# 21
bevölkerungsgruppe	bevölkerung gruppe	# 21
führungsposition	führung position	# 12
belohnungssystem	belohnung system	# 7
arbeitssicherheit	arbeit sicherheit	# 5
monatsmiete	monat miete	# 4
rechnungsbuch	rechnung buch	# 3
königsherrschaft	könig herrschaft	# 2
schönheitsideal	schönheit ideal	# 2
übergewicht	über gewicht	# 45
prozentpunkt	prozent punkt	# 41
bundesverfassungsgericht	bund verfassung gericht	# 40
landesregierung	land regierung	# 34
deutschkurs	deutsch kurs	# 31
klassenzimmer	klasse zimmer	# 29
nationalversammlung	national versammlung	# 27
akkusativobjekt	akkusativ objekt	# 25
heimatstadt	heimat stadt	# 20
personalausweis	personal ausweis	# 19
blutdruck	blut druck	# 18
sportwette	sport wette	# 14
risikofaktor	risiko faktor	# 13
weltwirtschaft	welt wirtschaft	# 12
schifffahrt	schiff fahrt	# 10
mutterland	mutter land	# 9
steuerrecht	steuer recht	# 4
privathaus	privat haus	# 3
naturphänomen	natur phänomen	# 2
polizeizentral	polizei zentral	# 2
geschäftsmodell	geschäft modell	# 21
gesichtsausdruck	gesicht ausdruck	# 21
koalitionspartner	koalition partner	# 21
regierungskoalition	regierung koalition	# 21
wirtschaftskrise	wirtschaft krise	# 21
bevölkerungswachstum	bevölkerung wachstum	# 20
bewerbungsgespräch	bewerbung gespräch	# 20
sicherheitsbehörde	sicherheit behörde	# 19
volkswirtschaft	volk wirtschaft	# 19
berufsgruppe	beruf gruppe	# 18
lebensform	leben form	# 18
lebenszeit	leben zeit	# 18
lieblingsbuch	liebling buch	# 18
lieblingswort	liebling wort	# 18
rechtsanwalt	recht anwalt	# 18
rechtsstaat	recht staat	# 18
spannungsfall	spannung fall	# 18
verschwörungstheorie	verschwörung theorie	# 18
entwicklungsland	entwicklung land	# 17
lebenserwartung	leben erwartung	# 17
arbeitswelt	arbeit welt	# 16
geschäftsmann	geschäft mann	# 16
lebensstandard	leben standard	# 16
lieblingsfilm	liebling film	# 16
alltagssprache	alltag sprache	# 15
gesundheitswesen	gesundheit wesen	# 15
glücksspiel	glück spiel	# 15
infektionskrankheit	infektion krankheit	# 15
sicherheitskraft	sicherheit kraft	# 15
vergangenheitsform	vergangenheit form	# 15
versuchsperson	versuch person	# 15
wettbewerbsfähigkeit	wettbewerb fähigkeit	# 15
wirtschaftspolitik	wirtschaft politik	# 15
