n,guessable,judge
2,yes,claude-opus-5
3,yes,claude-opus-5
5,yes,claude-opus-5
6,yes,claude-opus-5
13,yes,claude-opus-5
18,no,claude-opus-5
20,yes,claude-opus-5
21,yes,claude-opus-5
22,yes,claude-opus-5
26,yes,claude-opus-5
30,yes,claude-opus-5
32,yes,claude-opus-5
33,no,claude-opus-5
37,yes,claude-opus-5
40,yes,claude-opus-5
45,yes,claude-opus-5
46,yes,claude-opus-5
52,yes,claude-opus-5
53,yes,claude-opus-5
56,yes,claude-opus-5
57,yes,claude-opus-5
58,yes,claude-opus-5
62,yes,claude-opus-5
69,no,claude-opus-5
74,yes,claude-opus-5
81,yes,claude-opus-5
82,yes,claude-opus-5
88,yes,claude-opus-5
90,yes,claude-opus-5
95,yes,claude-opus-5
96,yes,claude-opus-5
99,no,claude-opus-5
100,yes,claude-opus-5
103,yes,claude-opus-5
113,yes,claude-opus-5
119,yes,claude-opus-5
132,no,claude-opus-5
141,yes,claude-opus-5
142,no,claude-opus-5
143,yes,claude-opus-5
145,yes,claude-opus-5
148,yes,claude-opus-5
159,yes,claude-opus-5
172,yes,claude-opus-5
184,yes,claude-opus-5
195,no,claude-opus-5
204,yes,claude-opus-5
207,yes,claude-opus-5
211,yes,claude-opus-5
212,no,claude-opus-5
214,yes,claude-opus-5
221,yes,claude-opus-5
222,yes,claude-opus-5
231,yes,claude-opus-5
237,no,claude-opus-5
239,yes,claude-opus-5
245,no,claude-opus-5
246,no,claude-opus-5
255,yes,claude-opus-5
256,no,claude-opus-5
262,yes,claude-opus-5
267,no,claude-opus-5
269,yes,claude-opus-5
270,yes,claude-opus-5
274,yes,claude-opus-5
275,yes,claude-opus-5
277,no,claude-opus-5
281,yes,claude-opus-5
291,yes,claude-opus-5
299,yes,claude-opus-5
314,yes,claude-opus-5
315,yes,claude-opus-5
316,yes,claude-opus-5
317,yes,claude-opus-5
324,yes,claude-opus-5
333,yes,claude-opus-5
340,yes,claude-opus-5
346,yes,claude-opus-5
350,yes,claude-opus-5
360,yes,claude-opus-5
363,yes,claude-opus-5
366,yes,claude-opus-5
370,yes,claude-opus-5
372,yes,claude-opus-5
373,yes,claude-opus-5
375,no,claude-opus-5
379,yes,claude-opus-5
380,yes,claude-opus-5
403,no,claude-opus-5
405,yes,claude-opus-5
408,yes,claude-opus-5
409,yes,claude-opus-5
420,yes,claude-opus-5
426,yes,claude-opus-5
431,yes,claude-opus-5
432,yes,claude-opus-5
440,yes,claude-opus-5
445,yes,claude-opus-5
447,yes,claude-opus-5
450,yes,claude-opus-5
