text,stored_top,stored_expected,stored,n
Ein scheinbar ewiger Kreislauf des Entstehens und Vergehens.,C1,3.63,"{""A2"": 0.0, ""A1"": 0.0, ""C1"": 0.74, ""B1"": 0.11, ""B2"": 0.15}",1
"Ja, er lebt im Norden.",A1,0.01,"{""B2"": 0.0, ""A2"": 0.01, ""C1"": 0.0, ""B1"": 0.0, ""A1"": 0.99}",2
Und damit kommen wir zu Spiel Nummer vier.,A1,0.72,"{""C1"": 0.0, ""A2"": 0.37, ""B2"": 0.01, ""B1"": 0.16, ""A1"": 0.46}",3
"Die Regierung hätte gar keine Mehrheit mehr, was spätestens dann kompliziert würde, wenn es darum geht, einen Haushalt zu verabschieden.",B2,3.0,"{""A1"": 0.0, ""C1"": 0.0, ""A2"": 0.0, ""B2"": 1.0, ""B1"": 0.0}",4
Hier unten gibt es noch ein Video mit Mirko.,A1,0.32,"{""A2"": 0.26, ""B1"": 0.03, ""A1"": 0.71, ""B2"": 0.0, ""C1"": 0.0}",5
Ich muss doch sauber machen.,A2,0.7,"{""A2"": 0.7, ""A1"": 0.3, ""B1"": 0.0, ""C1"": 0.0, ""B2"": 0.0}",6
Daniel Aßmann fährt durch eine wunderschöne Landschaft.,A1,0.47,"{""C1"": 0.0, ""B1"": 0.03, ""A1"": 0.56, ""A2"": 0.41, ""B2"": 0.0}",7
Ich mach die Wäsche gerade.,A1,0.05,"{""C1"": 0.0, ""A2"": 0.05, ""B2"": 0.0, ""B1"": 0.0, ""A1"": 0.95}",8
"Sie sind in Vereinen engagiert, machen Politik.",A2,1.08,"{""A1"": 0.25, ""B1"": 0.31, ""B2"": 0.01, ""A2"": 0.43, ""C1"": 0.0}",9
Ich gehe auf jemanden zu und nehme mit ihm oder ihr Kontakt auf.,A2,1.06,"{""C1"": 0.0, ""A1"": 0.22, ""B1"": 0.26, ""A2"": 0.51, ""B2"": 0.01}",10
"Nehmen wir zum Beispiel mal meinen Namen, Lisa.",A1,0.43,"{""C1"": 0.0, ""B1"": 0.08, ""A2"": 0.24, ""A1"": 0.67, ""B2"": 0.01}",11
"Lasst uns ein bisschen diskutieren, unten in den Kommentaren.",A1,0.82,"{""B2"": 0.01, ""A1"": 0.39999999999999997, ""A2"": 0.39, ""B1"": 0.2, ""C1"": 0.0}",12
Und das ist in der Regel nicht leicht.,A1,0.74,"{""A1"": 0.45999999999999996, ""C1"": 0.0, ""B1"": 0.18, ""B2"": 0.01, ""A2"": 0.35}",13
"Aktuell liegt er bei ungefähr 75 Prozent, aber auch das ist noch ein enorm hoher Wert.",B1,2.14,"{""C1"": 0.0, ""A2"": 0.02, ""B2"": 0.16, ""B1"": 0.82, ""A1"": 0.0}",14
Grönland ist seit deren Gründung mit Dänemark auch zusammen Mitglied der NATO.,B2,2.56,"{""A1"": 0.0, ""B1"": 0.45, ""A2"": 0.01, ""B2"": 0.51, ""C1"": 0.03}",15
"Stellt euch vor, jemand hält eine Rede und sagt darin etwas, das ihr gut findet.",B1,2.11,"{""A2"": 0.03, ""A1"": 0.01, ""B1"": 0.8, ""B2"": 0.16, ""C1"": 0.0}",16
Dort wurde so etwas schon eingeführt.,A2,1.97,"{""A1"": 0.0, ""C1"": 0.0, ""B1"": 0.13, ""B2"": 0.42, ""A2"": 0.45}",17
Hab also den vollen Schutz.,A2,0.62,"{""C1"": 0.0, ""B1"": 0.06, ""A1"": 0.44, ""A2"": 0.5, ""B2"": 0.0}",18
"Es war so schön, mit dir zu fahren.",A2,1.06,"{""A1"": 0.02, ""B1"": 0.08, ""A2"": 0.9, ""C1"": 0.0, ""B2"": 0.0}",19
"Ja, du bist zur Tür gegangen und hast sie abgeschlossen.",A2,1.18,"{""C1"": 0.0, ""A2"": 0.8099999999999999, ""B1"": 0.17, ""B2"": 0.01, ""A1"": 0.01}",20
Nach fünf Jahren ist dann alles abgeschlossen.,A2,1.2,"{""A1"": 0.05, ""B1"": 0.21, ""A2"": 0.72, ""C1"": 0.0, ""B2"": 0.02}",21
Ich habe keine Angst um diese Juden.,A2,0.91,"{""C1"": 0.0, ""A2"": 0.66, ""B2"": 0.01, ""A1"": 0.22, ""B1"": 0.11}",22
Und es wird weiter gegen Hunter Biden ermittelt.,B2,2.67,"{""C1"": 0.01, ""B1"": 0.24, ""A1"": 0.0, ""B2"": 0.7, ""A2"": 0.05}",23
"Und plötzlich ertrug ich den Gedanken, nicht mir, dich ebenfalls in der Galerie meiner Erinnerungen zu sehen.",C1,3.7,"{""A2"": 0.0, ""C1"": 0.71, ""A1"": 0.0, ""B1"": 0.01, ""B2"": 0.28}",24
"Ich freue mich, ich bin schon sehr sehr gespannt.",A1,0.21,"{""B2"": 0.0, ""B1"": 0.02, ""A2"": 0.17, ""A1"": 0.81, ""C1"": 0.0}",25
Komplett unwahrscheinlich wäre das zumindest nicht.,B2,2.54,"{""B2"": 0.51, ""A2"": 0.07, ""C1"": 0.05, ""A1"": 0.0, ""B1"": 0.37}",26
"Und da fühlt sich der Iran massiv gestört von den USA, die wiederum keinen neuen Krieg beginnen wollten.",B2,2.82,"{""A1"": 0.0, ""B1"": 0.19, ""A2"": 0.0, ""C1"": 0.01, ""B2"": 0.8}",27
Zu einem Heiligen der Revolution.,C1,2.96,"{""B2"": 0.17, ""B1"": 0.25, ""A1"": 0.01, ""C1"": 0.46, ""A2"": 0.11}",28
"Einmal überschritten, bedeutet zum Zentrum zu fallen, in die Zukunft zu fallen.",C1,3.46,"{""C1"": 0.61, ""A1"": 0.0, ""B1"": 0.15, ""A2"": 0.0, ""B2"": 0.24}",29
