n,stratum,pattern,gloss,surface,text,video,start
1,uniform,etw. (Akk) versuchen,etwas versuchen means to make an attempt or effort to do something.,es versucht,"Ich habe es versucht, aber du wolltest es nicht.",uNtjkAPqwd8,141.223
2,uniform,die Straße,die Straße means street.,keine Straßen,"Das ist geschützter Wald, keine Straßen.",UBCXOGtU7FU,1481.6528000000008
3,uniform,die Kraft,die Kraft means strength.,elementare Kräfte,Jahrmilliarden haben elementare Kräfte unseren Planeten geformt.,dWWkxJSJ9fY,26.8
4,uniform,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,gesagt,"Nur sind solche Bischofssitze eben etwas mehr wert als Pokémonkarten, vorsichtig gesagt.",C-0PJ6y9g88,556.8
5,uniform,die Beziehung,die Beziehung means relationship.,die Beziehung,"Wenn man sich die Beziehung von zwei Staaten oder Völkern anschaut, kann man weit in die Geschichte zurückgehen.",X2vtshF6xF0,44.04
6,uniform,das Zeichen,das Zeichen means sign.,Zeichen,"Zusätzlich wurde die Zeit gestoppt, um die Lesezeit pro Zeichen zu messen.",pfvwnmPhIb0,346.84
7,uniform,etw. (Akk) zerstören,etwas zerstören means to destroy something.,bei diesem Vorgang zerstört,Heutige Sterne würden bei diesem Vorgang zerstört.,oRgN9I8vp4k,352.517
8,uniform,der Schlüssel,der Schlüssel means key.,Ich Schlüssel,Oh. Ich Schlüssel nicht raus.,BS_2ZK0rUk8,2795.666666666668
9,uniform,der Stand,der Stand means the current state or tally of something.,Stand Mitte,"In Israel soll es bisher, Stand Mitte März 2026, zwölf tote Zivilisten gegeben haben.",63Vrds4W8FM,137.04
10,uniform,mit jdm. / über etw./jdn. sprechen,mit jemandem sprechen means to speak with someone.,über politische Entscheidungen sprechen,"Wenn wir aber nicht über politische Entscheidungen oder Wahlen sprechen, verwenden wir meistens “auswählen”, würde ich sagen.",LlTPkdcO-og,463.86
11,uniform,etw. (Akk) spielen,"etwas spielen means to play (a game, instrument, or activity).",in der Politik spielt eine große Rolle,Und auch in der Politik spielt Julian Assange eine große Rolle.,IOAnfChTVV4,111.68
12,uniform,die Gesellschaft,die Gesellschaft means society.,Gesellschaft,"Da sollten wir als Gesellschaft zusammenhalten, indem wir uns eben für die Demokratie einsetzen.",4huvAQ98f18,775.28
13,uniform,etw./jdn. (Akk) haben,,An beiden Orten haben Büros,"An beiden Orten haben sie Büros und ein Team, das sie bei ihrer Arbeit unterstützt.",vyUhfmdi9jY,179.96
14,uniform,die Bombe,die Bombe means bomb.,die türkische Bombe,Sorry für die türkische Bombe.,uAS-BBiLpPk,255.613
15,uniform,an etw. (Dat) sterben,an etwas sterben means to die from or of something (often used metaphorically for emotional loss).,gestorben,"Wir hatten da mal einen Fall, da war ein älterer Herr gestorben, der mit seinem Enkel immer geschnitzt hat.",HQTggSUfZPI,756.48
16,uniform,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,gibt Nomaden,"Dann gibt es Nomaden wie Joe (oben rechts): Er verkauft CDs, also seine eigenen Alben im Internet, macht Straßenmusik und macht dadurch Werbung für sich.",rKXhABYxKFQ,800.019
17,uniform,der Arm,der Arm means poor person (archaic/poetic usage with 'arme').,Arm,Grade in den Erdölländern gibt es außerdem krasse innergesellschaftliche Unterschiede zwischen Arm und Reich.,IAD_fVFE6y8,519.0
18,uniform,zu etw. / etw. (Akk) zählen,zu etwas zählen means to rely on someone or something.,zählen zum Umlaufvermögen,"Denn die zählen zum Umlaufvermögen und da gilt das strenge Niederstwertprinzip, wo immer der niedrigste Wert angesetzt wird.",lkikWHgBNBE,251.739
19,uniform,etw./jdn. (Akk) haben,,haben,"Die Kollegen vom MDR, vom Mitteldeutschen Rundfunk, haben das für Thüringen einmal ausgewertet und kommen auf insgesamt 80 verschiedene Aufgabengebiete bei einem Landrat in Thüringen.",2VyID0MpxuQ,215.28
20,uniform,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,sagt,Iran sagt aber gleichzeitig auch: Damit ist unsere Reaktion abgeschlossen.,DAd_SwiwH04,700.6
21,uniform,die Million,die Million means million.,den letzten Millionen Jahren,Jäger und Sammler hat es in den letzten paar Millionen Jahren definitiv gegeben.,WhbGobY3hUg,195.85
22,uniform,das Beispiel,das Beispiel means example.,diesem Beispiel,"In diesem Beispiel liegt der Fokus darauf, dass er kocht.",eH4DPgtAx_A,183.19333333333336
23,uniform,etw./jdn. (Akk) hören,etwas hören means to hear something.,hört,"Ich erwähne ihn hier aber, damit ihr wisst, was er bedeutet, wenn ihr ihn mal irgendwo lest oder hört.",20btdxHqWD8,555.2046875000002
24,uniform,das Labor,das Labor means laboratory.,Labor,"Das weiß ich als Chemikerin leider aus eigener Erfahrung, weil man im Labor auch ab und an mit H2S hantiert.",LQAF3b0luDw,102.0
25,uniform,die Bevölkerung,die Bevölkerung means the population.,die deutsche Bevölkerung,Und die deutsche Bevölkerung ist in Kauflaune.,6PigxzKR84w,688.2
26,uniform,das Prozent,das Prozent means percent.,100 Prozent Akku,"Ich hatte das mehrmals bei Gorillas, dass die E-Bikes, obwohl die vollgeladen waren, 100 Prozent Akku hatten, nicht richtig funktioniert haben.",YjKKy361zZ0,415.28
27,uniform,jdn./etw. (Akk) vor etw. (Dat) bewahren,jemanden vor etwas bewahren means to save someone/something from something.,Gott bewahre,"Gott bewahre, dass irgendjemand außer Aron Glückstein etwas von der Welt versteht.",9kwL5Msx9TQ,1947.6421917808218
28,uniform,jdm. (Dat) etw. (Akk) schicken,jemandem etwas schicken means to send something to someone.,einen Öltanker schickt,"Das heisst, das funktioniert letztlich über Einschüchterung, dass im Augenblick kein Land gewillt ist, sich Ärger mit den USA einzufangen, indem man einen Öltanker schickt.",FMJT0rrH_Ig,127.6
29,uniform,über etw. (Akk) entscheiden,über etwas entscheiden means to make a decision about something.,entscheidet,"Weil das Gehirn entscheidet, was wir essen, liegt dem Mikrobiom seine Gesundheit am Herzen.",_WP9Piwsexo,225.88
30,uniform,etw./jdn. (Akk) vergessen,etwas vergessen means to forget something.,vergessen,Abonnieren und Liken nicht vergessen.,q9KRDebumfc,1044.1124050632911
31,uniform,"nichts, nix",,nichts,"Ja, das ist sinnvoll, damit wir nichts vergessen.",1_Sne_JjXLU,496.013
32,uniform,jdm. (Dat) etw. (Akk) zeigen,jemandem etwas zeigen means to show something to someone.,zeigte,"Nur sie hatte kein Licht, das zeigte, welcher Hebel der richtige war.",mt-bI6tH5uU,559.16
33,uniform,jdn./etw. (Akk) mitnehmen,jemanden mitnehmen means to take someone or something along.,euch mitnehmen,"Na los, jetzt sind wir wieder die M. Hey, könnt ihr euch mitnehmen?",s-PargCRexE,406.6263157894737
34,uniform,der Freund,der Freund means friend.,Freunden,Das kann ein liebevoller Scherz unter Freunden sein oder ein gemeiner Kommentar.,XfkeDWCNnjM,459.0219178082192
35,uniform,etw./jdn. (Akk) haben,,hat,"Das war so lange kein Problem, bis Russland die Ukraine angegriffen hat.",titv-tZ4iB8,201.36
36,uniform,die Wand,die Wand means wall.,der Wand,"Du kannst Rasenmähen, Nägel aus der Wand ziehen und arbeitest gerne mit Moltofill?",21ZiBKfLQ2Y,904.36
