step,candidates,well_formed,chosen_score,best_score,chosen,best
1,530,138,1.0,1.0,"Zeig mir mal alles, was du bei den Ministerin rausgefunden hast.","Hauptsache, dass du an dich glaubst und alles dafür tust."
2,347,85,1.0,1.0,"Wir wollen doch nicht, dass Herr Kunze sauer wird.",Letztes Mal bei Like Germans Wir haben Herrn Polnikova zurückgebracht.
3,451,110,1.0,1.0,"„Compton Model Agency, Dünkirchen, 73899.“ Das ist alles was wir brauchen.",Ich brauche für die nächste Stunde eure ganze Aufmerksamkeit.
4,338,101,1.0,1.0,"Zweitens, da komme ich wieder auf die Energiefragen zu sprechen.","Es ist sehr wichtig, dass ich mit ihr spreche."
5,256,100,1.0,1.0,"Wow, das sind sogar 5 Tage mehr, als ich zurzeit habe.","Wow, das sind sogar 5 Tage mehr, als ich zurzeit habe."
6,292,94,1.0,1.0,"Ähh nein, daran habe ich noch gar nicht gedacht.","Aber das kann gar nicht sein, wegen der Quantenmechanik, oder?"
7,265,122,1.0,1.0,„Der unebene Saum wurde aus dem Jahr 203 zurückgebracht.,Dann kommst du bis zu 10 Jahre ins Gefängnis.
8,309,72,1.0,1.0,"Wenn mir etwas passiert, Du wärst alles, was ihnen noch bleibt.","Du kannst mir glauben, dass so etwas nicht noch einmal passiert."
9,262,67,1.0,1.0,"Ähm nichts, ich dachte nur du bist noch krank!",Ich will nichts mehr mit dir zu tun haben.
10,242,80,1.0,1.0,"Wie meine Frau sieht, weiß ich schon nicht mehr.","Als ich betrunken war, habe ich eine junge Frau kennengelernt."
11,258,64,1.0,1.0,"Zusammen bekommen wir das Geld schnell, aber ich brauche dich, Schatz.","Wenn sie noch einen Verweis bekommt, muss sie gehen."
12,269,89,1.0,1.0,"Wusstest du, dass Frauen mehr Vergewaltigungsfantasien haben als Männer?",Ich habe mit meinem Mann Günther immer den Weihnachtsbaum geschmückt.
13,229,95,1.0,1.0,"Zwei Infos, die ich zu dieser Zeit nicht hatte.","Zwei Infos, die ich zu dieser Zeit nicht hatte."
14,327,83,1.0,1.0,"Wir sind in der Bibliothek, hier darf man nicht reden.","Wir sind in der Bibliothek, hier darf man nicht reden."
15,260,87,1.0,1.0,"Wie stehe ich denn da, wenn du dich drückst?",Langsam stehen wir da wie ein Haufen gottverdammter Barbaren.
16,292,50,1.0,1.0,"Wie Quasare Galaxien killen Okay, “killen” ist etwas übertrieben.","Okay, sag Bescheid wenn die Würstchen auf den Grill können."
17,282,64,1.0,1.0,Wir können den Opfern eines Atomangriffs nicht wirklich helfen.,"Jemma, sie hat mir geholfen, es klar zu sehen."
18,244,55,1.0,1.0,"Wir sind noch zwei Jahre in der Schule, Leute.","Die Leute sehen lieber einen Liberalen, der bei Oiley gedemütigt wird."
19,257,68,1.0,1.0,Wie sieht es bei dir mit einem Städtetrip aus?,Und das sah mir doch mehr nach Heimarbeit aus.
20,185,70,1.0,1.0,Wollen Sie nicht noch ein bisschen davon übrig lassen?,Und jetzt muss ich mich nur noch taufen lassen.
21,253,95,1.0,1.0,Wisst ihr was: Ich treffe sie später noch mal wieder.,Dann treffen wir uns doch um 20:00 Uhr vor dem Kino.
22,266,97,1.0,1.0,"Wollen Sie uns noch etwas erzählen, das Ihnen wichtig ist?","Es gibt da etwas, dass ich dir unbedingt erzählen muss, Melanie."
23,254,41,1.0,1.0,"Wenn ihr zu spät kommt, rastet mein Papa aus.","Mein Papa sagt, ich darf nicht mit Fremden mitgehen."
24,234,78,1.0,1.0,"„Hallo, Lisa, mein Vater und ich brauchen deine Hilfe.","„Hallo, Lisa, mein Vater und ich brauchen deine Hilfe."
25,245,85,1.0,1.0,Zu Hause gibt es eine kleine Überraschung für euch!,Ich werde schnell aufessen und danach nach Hause fahren.
26,245,56,1.0,1.0,Wir könnten noch nach Saint-Germain fahren und was essen.,"Ich hatte gerade eine Fehlgeburt, ich darf so was nicht essen."
27,258,72,1.0,1.0,Wir kennen uns jetzt schon so lange Zeit nicht.,Und die und die hast du auch nicht gekannt.
28,175,57,1.0,1.0,Wir haben in den letzten Tagen viel zusammen gelernt.,Wir haben in den letzten Tagen viel zusammen gelernt.
29,261,110,1.0,1.0,"„Möchten Sie auch ein belegtes Brötchen essen?“, frage ich ihn.","Ich frage mich, was Herr Polnikova von mir will."
30,230,63,1.0,1.0,"Ähm naja, also Herr Polnikova und ich sind gute Freunde.","Also, wenn ein Freund dich fragt, warum bist du hier?"
31,221,61,1.0,1.0,"Oh mein Gott, was sollen wir jetzt nur machen?","Oh mein Gott, du hast ja ein blaues Auge!"
32,208,71,1.0,1.0,Wir nehmen ihn auf jeden Fall mit nach Hause.,Die Körpergröße wird dann noch mal zum Quadrat genommen.
33,130,63,1.0,1.0,"Ähm nein, aber ich hab noch ein paar alte Kaugummis.","Ein paar Insider im Pentagon, ein paar in der CIA."
34,235,44,1.0,1.0,"Leah: Ach, du bist erst seit diesem Schuljahr hier?","Ach so, ich dachte, da gibt es vielleicht noch einen anderen."
35,252,87,1.0,1.0,"„Titelseite, London Times, heute” „Tut mir leid, ignorier das einfach.","Es tut mir leid, aber das kann ich nicht tun."
36,232,77,1.0,1.0,"Wie der mit Rosa verwandt ist, verstehe ich nicht.","Bei einem Jahr, zwei oder drei könnte ich das noch verstehen."
