pattern,before,refused,share_refused
etw./jdn. (Akk) haben,1666,1098,0.659
etw. (Akk) können,837,783,0.935
jdm. (Dat) etw. (Akk) geben,432,0,0.0
etw. (Akk) machen,404,0,0.0
jdm. (Dat) etw. (Akk) sagen,392,0,0.0
etw. (Akk) wollen,304,235,0.773
etw./jdn. (Akk) sehen,205,0,0.0
etw. (Akk) wissen,154,0,0.0
etw./jdn. (Akk) finden,134,0,0.0
etw. (Akk) tun,127,0,0.0
etw. (Akk) bekommen,107,0,0.0
jdm. (Dat) stehen,107,0,0.0
mit jdm. / über etw./jdn. sprechen,98,0,0.0
etw./jdn. (Akk) brauchen,90,0,0.0
jdm. (Dat) etw. (Akk) bedeuten,90,0,0.0
jdm. (Dat) passieren,81,0,0.0
etw./jdn. (Akk) lassen,77,0,0.0
jdm. (Dat) etw. (Akk) bringen,74,0,0.0
nach etw. aussehen,70,0,0.0
jdm. (Dat) / etw. (Akk) glauben,66,0,0.0
jdm. (Dat) etw. (Akk) schreiben,59,0,0.0
etw./jdn. (Akk) kennen,57,0,0.0
jdm. (Dat) etw. (Akk) zeigen,55,0,0.0
etw. (Akk) versuchen,54,0,0.0
etw. (Akk) benutzen,54,0,0.0
jdn. (Akk) + Name (Akk) nennen,53,0,0.0
etw. (Akk) lernen,53,0,0.0
jdm. (Dat) gehören,52,0,0.0
etw./jdn. (Akk) verstehen,52,0,0.0
etw. (Akk) spielen,51,0,0.0
jdm. (Dat) helfen,48,0,0.0
jdn. (Akk) führen,48,0,0.0
etw./jdn. (Akk) nehmen,47,0,0.0
für jdn./etw. gelten,46,0,0.0
jdn. (Akk) / sich mit jdm. treffen,46,0,0.0
jdn./etw. (Akk) / sich (Dat) etw. (Akk) anschauen,46,0,0.0
jdn. (Akk) fragen,45,0,0.0
auf etw./jdn. schauen,45,0,0.0
etw./jdn. (Akk) hören,44,0,0.0
mit jdm. / über etw. reden,43,0,0.0
etw./jdn. (Akk) halten,41,0,0.0
jdm. (Dat) etw. (Akk) erklären,41,0,0.0
jdm. (Dat) etw. (Akk) erzählen,40,0,0.0
etw. (Akk) schaffen,39,0,0.0
etw./jdn. (Akk) stellen,37,0,0.0
mit etw. anfangen,34,0,0.0
jdn./etw. (Akk) wählen,34,0,0.0
etw. (Akk) lesen,31,0,0.0
etw. (Akk) nutzen,30,0,0.0
etw./jdn. (Akk) erreichen,28,0,0.0
etw./jdn. (Akk) verlieren,28,0,0.0
jdm. (Dat) jdn./etw. (Akk) / sich (Dat) etw. (Akk) vorstellen,28,0,0.0
etw. (Akk) meinen,27,0,0.0
etw. (Akk) essen,27,0,0.0
nach etw. klingen,27,0,0.0
etw. (Akk) ändern,26,0,0.0
an etw. (Dat) sterben,26,0,0.0
etw. (Akk) / jdn. (Akk) bezahlen,26,0,0.0
jdm. (Dat) / zu etw. passen,25,0,0.0
auf etw. (Akk) hoffen,25,0,0.0
aus etw. / etw. (Akk) bestehen bestehen,25,0,0.0
über etw. (Akk) entscheiden,24,0,0.0
jdn. (Akk) mit etw. beschäftigen,24,0,0.0
etw./jdn. (Akk) verändern,24,0,0.0
für/gegen jdn./etw. stimmen,24,0,0.0
auf etw. / an etw. ankommen,24,0,0.0
auf jdn./etw. warten,24,0,0.0
für jdn./etw. sorgen,23,0,0.0
etw. (Akk) ziehen,23,0,0.0
etw. (Akk) gewinnen,23,0,0.0
jdm. (Dat) etw. (Akk) / sich (Dat) etw. (Akk) merken,23,0,0.0
etw. (Akk) fahren,23,0,0.0
etw. (Akk) fühlen,23,0,0.0
mit etw. / etw. (Akk) beginnen,22,0,0.0
etw. (Akk) bilden,21,0,0.0
etw./jdn. (Akk) setzen,20,0,0.0
für/gegen etw./jdn. kämpfen,20,0,0.0
jdn. (Akk) freuen,20,0,0.0
jdm. (Dat) etw. (Akk) kaufen,20,0,0.0
etw./jdn. (Akk) bewegen,19,0,0.0
etw. (Akk) bauen,19,0,0.0
jdn./etw. (Akk) lieben,19,0,0.0
jdm. (Dat) etw. (Akk) verbieten,19,0,0.0
etw. (Akk) annehmen,18,0,0.0
etw./jdn. (Akk) tragen,18,0,0.0
etw. (Akk) erhalten,18,0,0.0
mit etw. / von etw. handeln,18,0,0.0
jdn. (Akk) anrufen,18,0,0.0
etw. (Akk) von jdm. erfahren,17,0,0.0
jdn./etw. (Akk) erkennen,17,0,0.0
jdn. (Akk) etw. (Akk) kosten,17,0,0.0
etw./jdn. (Akk) suchen,17,0,0.0
auf etw. (Akk) reagieren,17,0,0.0
etw./jdn. (Akk) vergessen,16,0,0.0
etw. (Akk) bestimmen,16,0,0.0
etw. (Akk) gründen,16,0,0.0
jdm. (Dat) etw. (Akk) verkaufen,16,0,0.0
jdn./etw. (Akk) unterstützen,16,0,0.0
von etw. ausgehen,16,0,0.0
etw./jdn. (Akk) legen,16,0,0.0
jdm. (Dat) scheinen,16,0,0.0
jdn./etw. (Akk) vor jdm./etw. schützen,16,0,0.0
jdn. (Akk) interessieren,16,0,0.0
etw./jdn. (Akk) einsetzen,16,0,0.0
etw. (Akk) trinken,16,0,0.0
etw. (Akk) verwenden,15,0,0.0
jdn./etw. (Akk) verlassen,15,0,0.0
jdm. (Dat) etw. (Akk) versprechen,15,0,0.0
etw. (Akk) zerstören,15,0,0.0
jdn./etw. (Akk) töten,15,0,0.0
etw. (Akk) / sich auf etw. vorbereiten,15,0,0.0
etw. (Akk) aufbauen,15,0,0.0
jdm. (Dat) etw. (Akk) holen,15,0,0.0
etw. (Akk) verdienen,15,0,0.0
jdn./etw. (Akk) betreffen,14,0,0.0
jdn./etw. (Akk) kontrollieren,14,0,0.0
jdm. (Dat) fehlen,14,0,0.0
etw./jdn. (Akk) mögen,14,5,0.357
jdn./etw. (Akk) schlagen,14,0,0.0
gegen jdn./etw. vorgehen,14,0,0.0
etw. (Akk) lösen,14,0,0.0
etw. (Akk) klären,14,0,0.0
etw. (Akk) entwickeln,14,0,0.0
mit jdm. über etw. diskutieren,13,0,0.0
etw. (Akk) verhindern,13,0,0.0
mit etw. aufhören,13,0,0.0
jdm. (Dat) etw. (Akk) / sich (Dat) etw. (Akk) ansehen,13,0,0.0
