n,p,model,input_tokens,seconds,verdict,label,rule,stratum,pattern
2,0.6,jev-1.13.0,522,0.67,frame,yes,,uniform,die Straße
3,0.52,jev-1.13.0,533,0.35,frame,yes,,uniform,die Kraft
5,0.67,jev-1.13.0,537,0.32,frame,yes,,uniform,die Beziehung
6,0.49,jev-1.13.0,532,0.27,frame,yes,,uniform,das Zeichen
13,0.76,jev-1.13.0,541,0.42,frame,yes,,uniform,etw./jdn. (Akk) haben
18,0.69,jev-1.13.0,561,0.35,frame,no,,uniform,zu etw. / etw. (Akk) zählen
20,0.8,jev-1.13.0,535,0.33,frame,yes,,uniform,jdm. (Dat) etw. (Akk) sagen
21,0.46,jev-1.13.0,529,0.36,frame,yes,,uniform,die Million
22,0.6,jev-1.13.0,523,0.36,frame,yes,,uniform,das Beispiel
26,0.73,jev-1.13.0,548,0.33,frame,yes,,uniform,das Prozent
30,0.66,jev-1.13.0,527,0.36,frame,yes,,uniform,etw./jdn. (Akk) vergessen
32,0.8,jev-1.13.0,536,0.36,frame,yes,,uniform,jdm. (Dat) etw. (Akk) zeigen
33,0.43,jev-1.13.0,543,0.33,frame,no,,uniform,jdn./etw. (Akk) mitnehmen
37,0.52,jev-1.13.0,531,0.36,frame,yes,,uniform,das Jahr
40,0.55,jev-1.13.0,522,0.36,frame,yes,,uniform,etw./jdn. (Akk) haben
45,0.78,jev-1.13.0,532,0.33,frame,yes,,uniform,die Veränderung
46,0.38,jev-1.13.0,553,0.37,frame,yes,,uniform,der Geschäftsführer
52,0.72,jev-1.13.0,541,0.36,frame,yes,,uniform,jdm. (Dat) etw. (Akk) erzählen
53,0.65,jev-1.13.0,539,0.23,frame,yes,,uniform,die Frau
56,0.6,jev-1.13.0,525,0.29,frame,yes,,uniform,die Macht
57,0.79,jev-1.13.0,552,0.27,frame,yes,,uniform,etw./jdn. (Akk) haben
58,0.51,jev-1.13.0,537,0.26,frame,yes,,uniform,etw./jdn. (Akk) halten
62,0.65,jev-1.13.0,554,0.27,frame,yes,,uniform,die Verhandlung
69,0.23,jev-1.13.0,539,0.29,frame,no,,uniform,der Bundestag
74,0.39,jev-1.13.0,516,0.26,frame,yes,,uniform,das Bild
81,0.76,jev-1.13.0,541,0.26,frame,yes,,uniform,jdn. (Akk) + Name (Akk) nennen
82,0.74,jev-1.13.0,544,0.27,frame,yes,,uniform,die Lösung
88,0.75,jev-1.13.0,549,0.31,frame,yes,,uniform,gegen jdn./etw. sich wehren
90,0.72,jev-1.13.0,532,0.28,frame,yes,,uniform,die Kosten
95,0.41,jev-1.13.0,524,0.26,frame,yes,,uniform,die Nation
96,0.62,jev-1.13.0,563,0.23,frame,yes,,uniform,jdn./etw. (Akk) / sich (Dat) etw. (Akk) anschauen
99,0.59,jev-1.13.0,522,0.29,frame,no,,uniform,der Freund
100,0.77,jev-1.13.0,551,0.26,frame,yes,,uniform,"all, alle"
103,0.6,jev-1.13.0,529,0.25,frame,yes,,uniform,etw. (Akk) machen
113,0.72,jev-1.13.0,527,0.29,frame,yes,,uniform,der Mensch
119,0.43,jev-1.13.0,516,0.32,frame,yes,,uniform,die Wohnung
132,0.75,jev-1.13.0,552,0.23,frame,no,,uniform,"allein, alleine"
141,0.38,jev-1.13.0,544,0.31,frame,yes,,uniform,etw./jdn. (Akk) haben
142,0.73,jev-1.13.0,529,0.35,frame,no,,uniform,der Tod
143,0.71,jev-1.13.0,539,0.26,frame,yes,,uniform,die Entscheidung
145,0.66,jev-1.13.0,539,0.29,frame,yes,,uniform,jdn. (Akk) zu etw. einladen
148,0.62,jev-1.13.0,547,0.29,frame,yes,,uniform,der Ausdruck
159,0.62,jev-1.13.0,515,0.35,frame,yes,,uniform,das Kind
172,0.72,jev-1.13.0,527,0.38,frame,yes,,uniform,etw. (Akk) verdienen
184,0.65,jev-1.13.0,517,0.33,frame,yes,,uniform,die Mama
195,0.32,jev-1.13.0,519,0.36,frame,no,,uniform,die Partie
204,0.59,jev-1.13.0,550,0.36,frame,yes,,uniform,die Polizei
207,0.79,jev-1.13.0,550,0.33,frame,yes,,uniform,etw./jdn. (Akk) verändern
211,0.72,jev-1.13.0,546,0.36,frame,yes,,uniform,das Thema
212,0.52,jev-1.13.0,540,0.36,frame,no,,uniform,"eben, ebend"
214,0.65,jev-1.13.0,550,0.33,frame,yes,,uniform,etw. (Akk) benutzen
221,0.68,jev-1.13.0,540,0.36,frame,yes,,uniform,der Job
222,0.79,jev-1.13.0,546,0.36,frame,yes,,uniform,das Wort
231,0.6,jev-1.13.0,519,0.33,frame,yes,,uniform,der Herr
237,0.71,jev-1.13.0,525,0.36,frame,no,,uniform,der Mund
239,0.74,jev-1.13.0,565,0.36,frame,yes,,uniform,etw./jdn. (Akk) erreichen
245,0.61,jev-1.13.0,538,0.32,frame,no,,uniform,das Geschäft
246,0.18,jev-1.13.0,537,0.25,frame,no,,uniform,der Bundestag
255,0.68,jev-1.13.0,544,0.29,frame,yes,,uniform,der Hafen
256,0.68,jev-1.13.0,554,0.33,frame,no,,uniform,das Bild
262,0.75,jev-1.13.0,518,0.26,frame,yes,,uniform,die Mama
267,0.34,jev-1.13.0,563,0.28,frame,no,,uniform,jdm. (Dat) etw. (Akk) / etw. (Akk) abziehen
269,0.8,jev-1.13.0,530,0.38,frame,yes,,uniform,die Frage
270,0.67,jev-1.13.0,519,0.29,frame,yes,,uniform,die Million
274,0.64,jev-1.13.0,536,0.28,frame,yes,,uniform,die Leute
275,0.66,jev-1.13.0,523,0.24,frame,yes,,uniform,die Bewertung
277,0.61,jev-1.13.0,538,0.27,frame,no,,uniform,die Geschichte
281,0.67,jev-1.13.0,544,0.28,frame,yes,,uniform,jdn./etw. (Akk) kontrollieren
291,0.73,jev-1.13.0,526,0.25,frame,yes,,uniform,"all, alle"
299,0.56,jev-1.13.0,527,0.27,frame,yes,,uniform,der Soldat
314,0.49,jev-1.13.0,533,0.24,frame,yes,,panel,etw. (Akk) machen
315,0.5,jev-1.13.0,535,0.24,frame,yes,,panel,etw. (Akk) machen
316,0.79,jev-1.13.0,541,0.31,frame,yes,,panel,"all, alle"
317,0.76,jev-1.13.0,545,0.33,frame,yes,,panel,"all, alle"
324,0.73,jev-1.13.0,532,0.25,frame,yes,,panel,etw./jdn. (Akk) sehen
333,0.65,jev-1.13.0,539,0.27,frame,yes,,panel,der Mensch
340,0.26,jev-1.13.0,525,0.32,frame,yes,,panel,etw. (Akk) tun
346,0.77,jev-1.13.0,543,0.36,frame,yes,,panel,mit jdm. / über etw./jdn. sprechen
350,0.75,jev-1.13.0,530,0.31,frame,yes,,panel,das Beispiel
360,0.88,jev-1.13.0,539,0.36,frame,yes,,panel,das Land
363,0.7,jev-1.13.0,543,0.37,frame,yes,,panel,etw. (Akk) bekommen
366,0.86,jev-1.13.0,551,0.33,frame,yes,,panel,etw./jdn. (Akk) brauchen
370,0.7,jev-1.13.0,544,0.36,frame,yes,,panel,"gern, gerne"
372,0.58,jev-1.13.0,517,0.35,frame,yes,,panel,"gern, gerne"
373,0.73,jev-1.13.0,521,0.33,frame,yes,,panel,"nichts, nix"
375,0.6,jev-1.13.0,519,0.36,frame,no,,panel,"nichts, nix"
379,0.76,jev-1.13.0,543,0.36,frame,yes,,panel,der Tag
380,0.56,jev-1.13.0,519,0.33,frame,yes,,panel,der Tag
403,0.51,jev-1.13.0,521,0.36,frame,no,,panel,die Leute
405,0.68,jev-1.13.0,542,0.36,frame,yes,,panel,die Leute
408,0.74,jev-1.13.0,539,0.33,frame,yes,,panel,die Partei
409,0.7,jev-1.13.0,541,0.36,frame,yes,,panel,jdm. (Dat) etw. (Akk) zeigen
420,0.83,jev-1.13.0,545,0.36,frame,yes,,panel,etw./jdn. (Akk) nehmen
426,0.65,jev-1.13.0,537,0.33,frame,yes,,panel,das Problem
431,0.63,jev-1.13.0,525,0.36,frame,yes,,panel,der Herr
432,0.47,jev-1.13.0,520,0.36,frame,yes,,panel,der Herr
440,0.66,jev-1.13.0,550,0.25,frame,yes,,panel,etw./jdn. (Akk) kennen
445,0.83,jev-1.13.0,543,0.27,frame,yes,,panel,jdm. (Dat) helfen
447,0.76,jev-1.13.0,531,0.23,frame,yes,,panel,jdm. (Dat) helfen
450,0.81,jev-1.13.0,521,0.3,frame,yes,,panel,"lange, lang"
