n,p,model,input_tokens,seconds,verdict,rule,stratum,pattern
1,0.9033,unsloth/Qwen3.5-9B-GGUF,,5.91,frame,,uniform,etw. (Akk) versuchen
2,0.6551,unsloth/Qwen3.5-9B-GGUF,,0.86,frame,,uniform,die Straße
3,0.6412,unsloth/Qwen3.5-9B-GGUF,,0.67,frame,,uniform,die Kraft
4,0.3677,unsloth/Qwen3.5-9B-GGUF,,0.6,other,,uniform,jdm. (Dat) etw. (Akk) sagen
5,0.8676,unsloth/Qwen3.5-9B-GGUF,,1.01,frame,,uniform,die Beziehung
6,0.9821,unsloth/Qwen3.5-9B-GGUF,,1.01,frame,,uniform,das Zeichen
7,0.8683,unsloth/Qwen3.5-9B-GGUF,,0.61,frame,,uniform,etw. (Akk) zerstören
8,0.1682,unsloth/Qwen3.5-9B-GGUF,,4.1,unclear,,uniform,der Schlüssel
9,0.7878,unsloth/Qwen3.5-9B-GGUF,,4.1,construction,,uniform,der Stand
10,0.3675,unsloth/Qwen3.5-9B-GGUF,,1.38,frame,,uniform,mit jdm. / über etw./jdn. sprechen
11,0.4875,unsloth/Qwen3.5-9B-GGUF,,1.73,construction,,uniform,etw. (Akk) spielen
12,0.9264,unsloth/Qwen3.5-9B-GGUF,,0.65,frame,,uniform,die Gesellschaft
13,0.4813,unsloth/Qwen3.5-9B-GGUF,,1.37,frame,,uniform,etw./jdn. (Akk) haben
14,0.2321,unsloth/Qwen3.5-9B-GGUF,,1.41,frame,,uniform,die Bombe
15,0.5747,unsloth/Qwen3.5-9B-GGUF,,0.69,other,,uniform,an etw. (Dat) sterben
16,0.336,unsloth/Qwen3.5-9B-GGUF,,2.98,construction,es_gibt,uniform,jdm. (Dat) etw. (Akk) geben
17,0.7765,unsloth/Qwen3.5-9B-GGUF,,1.12,other,,uniform,der Arm
18,0.9382,unsloth/Qwen3.5-9B-GGUF,,6.17,frame,,uniform,zu etw. / etw. (Akk) zählen
19,0.2838,unsloth/Qwen3.5-9B-GGUF,,2.31,other,aux,uniform,etw./jdn. (Akk) haben
20,0.7014,unsloth/Qwen3.5-9B-GGUF,,6.49,frame,,uniform,jdm. (Dat) etw. (Akk) sagen
21,0.8518,unsloth/Qwen3.5-9B-GGUF,,3.43,frame,,uniform,die Million
22,0.6948,unsloth/Qwen3.5-9B-GGUF,,1.61,frame,,uniform,das Beispiel
23,0.8851,unsloth/Qwen3.5-9B-GGUF,,0.88,frame,,uniform,etw./jdn. (Akk) hören
