sent,build,surface,initial,tag,st_xpos,md,md_repaired,st,acc,att_md_repaired,att_st,text
2,subtitle,mich,0,PRF,PPER,sich,sich,ich,ich,1,1,Du hast mich wieder verarscht.
4,subtitle,alle,0,PIAT,PIAT,aller,aller,alle,alle,1,1,Da kommt erstmal so eine Blende runter und dahinter verschwinden dann alle Pins.
8,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,"Ich saß eigentlich immer so, auch im Deutschunterricht."
9,subtitle,Im,1,APPRART,ART,in,in,im,im,1,1,"Im Zivilschutzgesetz ist vorgegeben, dass man einmal jährlich eine Risikoanalyse zur Zivilverteidigung an das Parlament gibt."
9,subtitle,zur,0,APPRART,APPR,zu,zu,zur,zur,1,1,"Im Zivilschutzgesetz ist vorgegeben, dass man einmal jährlich eine Risikoanalyse zur Zivilverteidigung an das Parlament gibt."
13,subtitle,ersten,0,ADJA,ADJA,erster,erster,erst,erst,1,1,"Und tatsächlich, auf den ersten Blick sieht das alles ganz gut aus."
15,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,"Die Leute waren hier gesessen, haben ihre Wäsche gewaschen im Sommer."
16,subtitle,uns,0,PRF,PRF,sich,sich,wir,wir,1,1,"Erkennen wir Anzeichen für Sicherheit und Nahrung, fühlen wir uns gut."
19,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,Wir können im See schwimmen und den Sonnenuntergang betrachten.
20,subtitle,gleiche,0,ADJA,NN,gleich,gleich,gleichen,gleichen,1,1,Das gleiche passiert bei der elektrischen Ladung.
22,subtitle,VHS-Kassetten,0,NN,NN,VHS-Kassetten,vhs-kassetten,VHS-Kassette,VHS-Kassette,1,1,"Kein Mensch nutzt mehr VHS-Kassetten, außer vielleicht Nostalgiker."
23,subtitle,krasseren,0,ADJA,ADJA,krasseren,krasseren,krass,krass,1,1,Was ist mit so krasseren Formen wie Hot-Yoga?
24,subtitle,mich,0,PRF,PRF,sich,sich,ich,ich,1,1,"Jetzt weiß ich nicht mehr, wie ich mich ihm gegenüber benehmen soll."
24,subtitle,ihm,0,PPER,PPER,ihm,ihm,er,er,1,1,"Jetzt weiß ich nicht mehr, wie ich mich ihm gegenüber benehmen soll."
26,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,Es hatte sich alles im Laufe der Jahre dazu deformiert.
28,subtitle,Stell,1,ADJD,VVFIN,stell,stell,stellen,stellen,1,1,"Stell dir vor, eine Maus würde durch deinen Mund in dich hineinkriechen und deine Innereien, Knochen und dein Fettgewebe als Mäusefabrik benutzen."
