n,stratum,pattern,gloss,surface,text,video,start,verdict,what,note,judge,rule
1,uniform,etw. (Akk) versuchen,etwas versuchen means to make an attempt or effort to do something.,es versucht,"Ich habe es versucht, aber du wolltest es nicht.",uNtjkAPqwd8,141.223,frame,,,claude-opus-5,
2,uniform,die Straße,die Straße means street.,keine Straßen,"Das ist geschützter Wald, keine Straßen.",UBCXOGtU7FU,1481.6528000000008,frame,,,claude-opus-5,
3,uniform,die Kraft,die Kraft means strength.,elementare Kräfte,Jahrmilliarden haben elementare Kräfte unseren Planeten geformt.,dWWkxJSJ9fY,26.8,frame,,Kräfte = forces; same noun,claude-opus-5,
4,uniform,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,gesagt,"Nur sind solche Bischofssitze eben etwas mehr wert als Pokémonkarten, vorsichtig gesagt.",C-0PJ6y9g88,556.8,other,vorsichtig gesagt (adverbial),"participle as adverbial, no recipient, nothing said",claude-opus-5,
5,uniform,die Beziehung,die Beziehung means relationship.,die Beziehung,"Wenn man sich die Beziehung von zwei Staaten oder Völkern anschaut, kann man weit in die Geschichte zurückgehen.",X2vtshF6xF0,44.04,frame,,,claude-opus-5,
6,uniform,das Zeichen,das Zeichen means sign.,Zeichen,"Zusätzlich wurde die Zeit gestoppt, um die Lesezeit pro Zeichen zu messen.",pfvwnmPhIb0,346.84,frame,,Zeichen = character; same noun,claude-opus-5,
7,uniform,etw. (Akk) zerstören,etwas zerstören means to destroy something.,bei diesem Vorgang zerstört,Heutige Sterne würden bei diesem Vorgang zerstört.,oRgN9I8vp4k,352.517,frame,,passive,claude-opus-5,
8,uniform,der Schlüssel,der Schlüssel means key.,Ich Schlüssel,Oh. Ich Schlüssel nicht raus.,BS_2ZK0rUk8,2795.666666666668,unclear,,garbled subtitle; Schlüssel is a mishearing,claude-opus-5,
9,uniform,der Stand,der Stand means the current state or tally of something.,Stand Mitte,"In Israel soll es bisher, Stand Mitte März 2026, zwölf tote Zivilisten gegeben haben.",63Vrds4W8FM,137.04,construction,Stand (Datum),"""as of""",claude-opus-5,
10,uniform,mit jdm. / über etw./jdn. sprechen,mit jemandem sprechen means to speak with someone.,über politische Entscheidungen sprechen,"Wenn wir aber nicht über politische Entscheidungen oder Wahlen sprechen, verwenden wir meistens “auswählen”, würde ich sagen.",LlTPkdcO-og,463.86,frame,,,claude-opus-5,
11,uniform,etw. (Akk) spielen,"etwas spielen means to play (a game, instrument, or activity).",in der Politik spielt eine große Rolle,Und auch in der Politik spielt Julian Assange eine große Rolle.,IOAnfChTVV4,111.68,construction,eine Rolle spielen,,claude-opus-5,
12,uniform,die Gesellschaft,die Gesellschaft means society.,Gesellschaft,"Da sollten wir als Gesellschaft zusammenhalten, indem wir uns eben für die Demokratie einsetzen.",4huvAQ98f18,775.28,frame,,,claude-opus-5,
13,uniform,etw./jdn. (Akk) haben,,An beiden Orten haben Büros,"An beiden Orten haben sie Büros und ein Team, das sie bei ihrer Arbeit unterstützt.",vyUhfmdi9jY,179.96,frame,,,claude-opus-5,
