n,p,model,input_tokens,seconds,verdict,rule,stratum,pattern
1,0.89,jev-1.13.0,662,0.73,frame,,uniform,etw. (Akk) versuchen
2,0.84,jev-1.13.0,656,0.36,frame,,uniform,die Straße
3,0.57,jev-1.13.0,667,0.25,frame,,uniform,die Kraft
4,0.2,jev-1.13.0,682,0.26,other,,uniform,jdm. (Dat) etw. (Akk) sagen
5,0.89,jev-1.13.0,671,0.33,frame,,uniform,die Beziehung
6,0.79,jev-1.13.0,666,0.37,frame,,uniform,das Zeichen
7,0.7,jev-1.13.0,676,0.27,frame,,uniform,etw. (Akk) zerstören
8,0.69,jev-1.13.0,650,0.3,unclear,,uniform,der Schlüssel
9,0.51,jev-1.13.0,666,0.28,construction,,uniform,der Stand
10,0.39,jev-1.13.0,684,0.48,frame,,uniform,mit jdm. / über etw./jdn. sprechen
11,0.52,jev-1.13.0,668,0.26,construction,,uniform,etw. (Akk) spielen
12,0.84,jev-1.13.0,664,0.31,frame,,uniform,die Gesellschaft
13,0.76,jev-1.13.0,677,0.36,frame,,uniform,etw./jdn. (Akk) haben
14,0.65,jev-1.13.0,656,0.36,frame,,uniform,die Bombe
15,0.7,jev-1.13.0,682,0.33,other,,uniform,an etw. (Dat) sterben
16,0.15,jev-1.13.0,696,0.36,construction,es_gibt,uniform,jdm. (Dat) etw. (Akk) geben
17,0.27,jev-1.13.0,669,0.36,other,,uniform,der Arm
18,0.89,jev-1.13.0,695,0.38,frame,,uniform,zu etw. / etw. (Akk) zählen
19,0.18,jev-1.13.0,699,0.31,other,aux,uniform,etw./jdn. (Akk) haben
20,0.67,jev-1.13.0,672,0.36,frame,,uniform,jdm. (Dat) etw. (Akk) sagen
21,0.54,jev-1.13.0,663,0.33,frame,,uniform,die Million
22,0.81,jev-1.13.0,657,0.36,frame,,uniform,das Beispiel
23,0.85,jev-1.13.0,682,0.36,frame,,uniform,etw./jdn. (Akk) hören
24,0.87,jev-1.13.0,669,0.33,frame,,uniform,das Labor
25,0.79,jev-1.13.0,655,0.24,frame,,uniform,die Bevölkerung
26,0.74,jev-1.13.0,682,0.26,frame,,uniform,das Prozent
27,0.13,jev-1.13.0,690,0.32,construction,,uniform,jdn./etw. (Akk) vor etw. (Dat) bewahren
28,0.58,jev-1.13.0,712,0.32,frame,,uniform,jdm. (Dat) etw. (Akk) schicken
29,0.53,jev-1.13.0,674,0.25,frame,,uniform,über etw. (Akk) entscheiden
30,0.74,jev-1.13.0,662,0.28,frame,,uniform,etw./jdn. (Akk) vergessen
31,0.81,jev-1.13.0,656,0.26,frame,,uniform,"nichts, nix"
32,0.34,jev-1.13.0,674,0.36,frame,,uniform,jdm. (Dat) etw. (Akk) zeigen
33,0.36,jev-1.13.0,679,0.27,frame,,uniform,jdn./etw. (Akk) mitnehmen
34,0.72,jev-1.13.0,660,0.27,frame,,uniform,der Freund
35,0.07,jev-1.13.0,668,0.29,other,aux,uniform,etw./jdn. (Akk) haben
36,0.78,jev-1.13.0,668,0.32,frame,,uniform,die Wand
37,0.74,jev-1.13.0,665,0.28,frame,,uniform,das Jahr
38,0.31,jev-1.13.0,652,0.28,construction,,uniform,der Gott
39,0.82,jev-1.13.0,663,0.4,frame,,uniform,etw. (Akk) vermeiden
40,0.82,jev-1.13.0,658,0.28,frame,,uniform,etw./jdn. (Akk) haben
41,0.87,jev-1.13.0,677,0.28,frame,,uniform,etw. (Akk) errichten
42,0.07,jev-1.13.0,667,0.25,other,,uniform,für/gegen jdn./etw. stimmen
43,0.62,jev-1.13.0,669,0.26,other,,uniform,das Ensemble
44,0.29,jev-1.13.0,709,0.3,frame,,uniform,jdm. (Dat) etw. (Akk) aufschreiben
45,0.81,jev-1.13.0,666,0.29,frame,,uniform,die Veränderung
46,0.87,jev-1.13.0,687,0.29,frame,,uniform,der Geschäftsführer
47,0.35,jev-1.13.0,689,0.26,frame,,uniform,jdm. (Dat) etw. (Akk) sagen
48,0.62,jev-1.13.0,677,0.4,frame,,uniform,etw. (Akk) wissen
49,0.21,jev-1.13.0,678,0.31,other,,uniform,vor jdm./etw. (Dat) fliehen
50,0.84,jev-1.13.0,657,0.39,frame,,uniform,das Jahr
51,0.92,jev-1.13.0,663,0.38,frame,,uniform,mit jdm. / über etw. reden
52,0.89,jev-1.13.0,677,0.49,frame,,uniform,jdm. (Dat) etw. (Akk) erzählen
53,0.49,jev-1.13.0,673,0.29,frame,,uniform,die Frau
54,0.66,jev-1.13.0,681,0.4,frame,,uniform,der Bundestag
55,0.58,jev-1.13.0,686,0.25,frame,,uniform,jdm. (Dat) vertrauen
56,0.86,jev-1.13.0,659,0.37,frame,,uniform,die Macht
57,0.75,jev-1.13.0,688,0.26,frame,,uniform,etw./jdn. (Akk) haben
58,0.28,jev-1.13.0,673,0.34,frame,,uniform,etw./jdn. (Akk) halten
59,0.59,jev-1.13.0,689,0.37,other,,uniform,auf etw. / an etw. ankommen
60,0.12,jev-1.13.0,672,0.33,other,modal,uniform,etw. (Akk) können
61,0.06,jev-1.13.0,681,0.37,other,aux,uniform,etw./jdn. (Akk) haben
62,0.85,jev-1.13.0,688,0.33,frame,,uniform,die Verhandlung
63,0.71,jev-1.13.0,666,0.36,frame,,uniform,etw. (Akk) machen
64,0.79,jev-1.13.0,674,0.31,frame,,uniform,etw./jdn. (Akk) halten
65,0.27,jev-1.13.0,687,0.25,construction,,uniform,jdm. (Dat) etw. (Akk) sagen
66,0.51,jev-1.13.0,669,0.26,frame,,uniform,der Junge
67,0.14,jev-1.13.0,685,0.3,construction,es_gibt,uniform,jdm. (Dat) etw. (Akk) geben
68,0.67,jev-1.13.0,679,0.26,frame,,uniform,etw. (Akk) / jdm. (Dat) etw. (Akk) brechen
69,0.76,jev-1.13.0,673,0.29,frame,,uniform,der Bundestag
70,0.34,jev-1.13.0,684,0.32,construction,,uniform,etw. (Akk) wissen
71,0.91,jev-1.13.0,672,0.25,frame,,uniform,der König
72,0.85,jev-1.13.0,665,0.39,other,,uniform,auf jdn./etw. wirken
73,0.79,jev-1.13.0,681,0.29,frame,,uniform,jdn. (Akk) um etw. bitten
74,0.93,jev-1.13.0,650,0.28,frame,,uniform,das Bild
75,0.13,jev-1.13.0,665,0.29,other,aux,uniform,etw./jdn. (Akk) haben
76,0.69,jev-1.13.0,669,0.33,frame,,uniform,etw. (Akk) mitmachen
77,0.75,jev-1.13.0,656,0.37,frame,,uniform,der Vater
78,0.06,jev-1.13.0,692,0.29,other,aux,uniform,etw./jdn. (Akk) haben
