n,p,model,input_tokens,seconds,verdict,label,rule,stratum,pattern
1,0.73,jev-1.13.0,687,0.7,frame,good,,uniform,etw. (Akk) versuchen
2,0.59,jev-1.13.0,682,0.28,frame,good,,uniform,die Straße
3,0.43,jev-1.13.0,693,0.27,frame,good,,uniform,die Kraft
4,0.54,jev-1.13.0,705,0.32,other,good,,uniform,jdm. (Dat) etw. (Akk) sagen
5,0.96,jev-1.13.0,697,0.26,frame,good,,uniform,die Beziehung
6,0.82,jev-1.13.0,692,0.29,frame,good,,uniform,das Zeichen
7,0.81,jev-1.13.0,700,0.31,frame,good,,uniform,etw. (Akk) zerstören
9,0.44,jev-1.13.0,692,0.37,construction,bad,,uniform,der Stand
10,0.61,jev-1.13.0,707,0.27,frame,good,,uniform,mit jdm. / über etw./jdn. sprechen
11,0.4,jev-1.13.0,692,0.25,construction,bad,,uniform,etw. (Akk) spielen
12,0.93,jev-1.13.0,690,0.3,frame,good,,uniform,die Gesellschaft
13,0.81,jev-1.13.0,701,0.27,frame,good,,uniform,etw./jdn. (Akk) haben
14,0.59,jev-1.13.0,682,0.27,frame,good,,uniform,die Bombe
15,0.78,jev-1.13.0,706,0.23,other,good,,uniform,an etw. (Dat) sterben
16,0.8,jev-1.13.0,718,0.5,construction,bad,es_gibt,uniform,jdm. (Dat) etw. (Akk) geben
17,0.4,jev-1.13.0,695,0.28,other,bad,,uniform,der Arm
18,0.71,jev-1.13.0,721,0.26,frame,good,,uniform,zu etw. / etw. (Akk) zählen
19,0.91,jev-1.13.0,723,0.32,other,good,aux,uniform,etw./jdn. (Akk) haben
20,0.9,jev-1.13.0,695,0.36,frame,good,,uniform,jdm. (Dat) etw. (Akk) sagen
21,0.65,jev-1.13.0,689,0.36,frame,good,,uniform,die Million
22,0.87,jev-1.13.0,683,0.33,frame,good,,uniform,das Beispiel
23,0.96,jev-1.13.0,708,0.36,frame,good,,uniform,etw./jdn. (Akk) hören
24,0.91,jev-1.13.0,695,0.36,frame,good,,uniform,das Labor
25,0.7,jev-1.13.0,681,0.33,frame,good,,uniform,die Bevölkerung
26,0.51,jev-1.13.0,708,0.36,frame,good,,uniform,das Prozent
