n,surface,tag,md_repaired,st,acc,text,verdict,note,judge,kind
1,Praktischeres,NN,praktischeres,Praktischere,Praktischeres,"Wie wär’s, wenn du was Praktischeres mitbringst?",neither,nominalised comparative; neither reaches praktisch,claude-opus-5,neither
2,letzten,ADJA,letzter,letzt,letzt,"""Große Koalition"" passt da vielleicht nicht so ganz, die SPD hat bei der letzten Wahl gerade mal um die 12% bekommen.",both,convention: TIGER letzter vs UD letzt,claude-opus-5,convention
3,kollidierten,VVFIN,kollidierten,kollidieren,kollidieren,Vor 350 Millionen Jahren kollidierten hier nämlich zwei Kontinente.,st,spaCy left the preterite unreduced,claude-opus-5,left unreduced
4,wehzutun,VVPP,wehzutun,wehtun,wehtun,"Einem Hasen wehzutun wäre dann moralisch etwa so verwerflich, wie einen Teddy zu schlagen.",st,zu-infinitive unreduced by spaCy,claude-opus-5,left unreduced
5,glaub,ADJD,glaub,glauben,glauben,"Ich glaub, der ist alles egal.",st,"clipped spoken form, spaCy tagged it ADJD",claude-opus-5,left unreduced
6,ersten,ADJA,erster,erst,erst,Die ersten Seiten des Wahlprogramms der FDP nach der Präambel drehen sich komplett um das Thema Bildung.,both,convention: erster vs erst,claude-opus-5,convention
7,Krallenfüße,NN,krallenfüße,Krallenfuß,Krallenfuß,Ich habe Krallenfüße und Krallenfüße sind ungeduldig.,st,spaCy left the plural,claude-opus-5,left unreduced
8,ne,NN,ne,ein,ein,"Ach seh'n Sie, ne? Naja. Man tut, was man kann, ne? In diesen Zeiten.",md,"tag-question particle ne, not the article",claude-opus-5,particle as verb/noun
9,Zweiten,ADJA,zweiter,zweit,zweit,"Als nach dem Zweiten Weltkrieg die DDR dort den Abbau vergrößert und weitere Industrie ansiedelt, wächst das Städtchen zu einer Stadt mit etwa 70.000 Einwohnern.",both,convention: zweiter vs zweit,claude-opus-5,convention
10,Danke,NN,danke,Dank,Dank,"Danke, dass du heute dabei warst.",md,"interjection danke, not the noun Dank",claude-opus-5,particle as verb/noun
11,Viren,NN,viren,Virus,Virus,"Der sagt, Bakterien oder Viren führen nicht dazu, dass man erkrankt, sondern alle Erkrankungen kommen nur durch irgendwelche psychische Traumen.",st,spaCy left the plural Viren,claude-opus-5,left unreduced
12,Bitten,NN,bitten,Bitte,Bitte,Sophie und Alexander Schmorell hätten nur einmal auf sein Bitten hin Flugblätter in andere Städte gefahren.,md,"sein Bitten is the nominalised verb, not die Bitte",claude-opus-5,wrong reading
13,Verben,NN,verbe,Verb,Verb,"“Deutsch mit Rieke”-Mitglied Jana hat neulich im Mitgliederbereich gefragt, ob ich ein Video über diese Verben mit “setzen” drehen könnte.",st,spaCy invented verbe,claude-opus-5,invented lemma
14,schlag,VVFIN,schlag,schlagen,schlagen,Statt “schlag mich tot” sagt man auch manchmal “schieß mich tot”.,st,imperative schlag unreduced by spaCy,claude-opus-5,left unreduced
15,sogenannten,ADJA,sogenannter,sogenannt,sogenannt,"Im sogenannten Zwei-plus-Vier-Vertrag wurde geregelt, wie das mit dem geeinten Deutschland genau ablaufen soll.",both,convention: sogenannter vs sogenannt,claude-opus-5,convention
16,Neues,NN,neue,Neu,Neu,"Ich bin immer dafür was Neues auszuprobieren, also ich glaub' es gibt am Ende keine Zufälle.",st,nominalised adjective; neu is the adjective the learner knows,claude-opus-5,wrong reading
17,spitzen,VVFIN,spitzen,spitz,spitz,"In kaum einem anderen Jahr spitzen sich die Entwicklungen so zu, sowohl negativ als auch positiv.",md,"sich zuspitzen is a verb, Stanza made it the adjective spitz",claude-opus-5,wrong reading
18,abzuhängen,VVIZU,abzuhängen,abhängen,abhängen,"Wir müssen versuchen, den Jet abzuhängen.",st,zu-infinitive unreduced by spaCy,claude-opus-5,left unreduced
19,geht's,VVFIN,gehen,gehe'en,gehten,"Hey, Sara. Wie geht's dir?",md,Stanza mangles the 's contraction; spaCy override gets gehen,claude-opus-5,'s contraction
20,take,VVFIN,take,taken,take,"Let's take Heiko Maas, OK... (that) was random.",md,English; leaving it alone is right,claude-opus-5,foreign word
21,Mutanten,NN,mutant,Mutante,Mutant,"Momentan haben wir ja den Salat, dass wir Mutanten haben, die nicht weniger schädlich sind, aber ansteckender.",both,Mutante and Mutant both exist; virology says Mutante,claude-opus-5,both exist
22,Weiß,NN,weiße,Weiß,Weiß,Weiß nicht.  - Morgen free man!,neither,"Weiß nicht = wissen; spaCy weiße, Stanza Weiß",claude-opus-5,neither
23,Wurmlöcher,NN,wurmlöcher,Wurmloch,Wurmloch,"Wir könnten näher dran sein als wir vermuten Von außen betrachtet, können Schwarze Löcher und Wurmlöcher sehr ähnlich aussehen.",st,spaCy left the plural,claude-opus-5,left unreduced
24,Verrückte,ADJA,verrückt,Verrückte,Verrückte,"Ihr könnt gerne in mein Buch schauen, das heißt ""Verrückte Geschichte"".",md,adjective in a title; Stanza made it a noun,claude-opus-5,wrong reading
25,warst,VVFIN,warst,sein,sein,Du warst gestern bei einer Therapeutin.,st,warst unreduced by spaCy,claude-opus-5,left unreduced
26,danke,VVFIN,danke,danken,danken,"Oh, danke! Ich finde deinen Pulli schön.",md,interjection danke,claude-opus-5,particle as verb/noun
27,willst,VVFIN,willen,wollen,wollen,"Dad, wohin willst du? Wir wollen zu Hause etwas essen.",st,"spaCy invented willen, and it is a real word so the guard let it through",claude-opus-5,invented lemma
28,böse,ADJD,böse,bös,bös,"Ich dachte, du warst gestern böse auf mich.",md,"böse is the dictionary lemma, not bös",claude-opus-5,stem variant
29,Prozess,NN,prozess,Prozeß,Prozeß,Im Prozess sagt er zunächst nichts.,md,old spelling Prozeß,claude-opus-5,old spelling
30,zahl,NN,zahln,zahlen,zahlen,Ich zahl schon mal was von meinen Schulden zurück.,st,spaCy invented zahln,claude-opus-5,invented lemma
31,erste,ADJA,erster,erst,erst,"Erstens muss ich zugeben, dass Deutsch die erste Sprache war, die ich mir selber beigebracht habe.",both,convention: erster vs erst,claude-opus-5,convention
32,Krallenfüße,NN,krallenfüße,Krallenfuß,Krallenfuß,Ich habe Krallenfüße und Krallenfüße sind ungeduldig.,st,spaCy left the plural,claude-opus-5,left unreduced
33,erste,ADJA,erster,erst,erst,"Ja, ich hab gleich meine erste Aufgabe.",both,convention: erster vs erst,claude-opus-5,convention
34,kämpf,VVFIN,kämpf,kämpfen,kämpfen,"Ich kämpf' für dein Zuhause, dann kannst du wieder lachen!",st,clipped kämpf' unreduced by spaCy,claude-opus-5,left unreduced
35,erste,ADJA,erster,erst,erst,In der zweiten Phase werden Astronauten die erste Mondbasis errichten.,both,convention: erster vs erst,claude-opus-5,convention
36,Weihnachten,NN,weihnachten,Weihnacht,Weihnachten,Kurz vor Weihnachten hatten wir eine Folge zu der Chemie von Butterplätzchen.,md,Weihnachten is the lemma; Weihnacht is archaic,claude-opus-5,stem variant
37,ersten,ADJA,erster,erst,erst,"Das gelingt einmal durch Handel, zum anderen eben durch Raubzüge der ersten.",both,convention: erster vs erst,claude-opus-5,convention
38,geheimnisvollen,ADJA,geheimnisvoll,geheimnisvollen,geheimnisvoll,Viele von ihnen haben einen geheimnisvollen Stein dabei.,md,Stanza left the adjective inflected,claude-opus-5,left unreduced
39,motivierten,ADJA,motiviert,motivieren,motivieren,"Eisner will seinen Rücktritt erklären, wird aber von einem völkisch-antisemitisch motivierten Attentäter ermordet.",md,motiviert as adjective; Stanza gave the verb,claude-opus-5,wrong reading
40,bitte,ADV,bitte,bitten,bitten,Ich hätte gern Baguette bitte.,md,"bitte the particle, not bitten",claude-opus-5,particle as verb/noun
41,expensive,VVFIN,expensiv,expensive,expensive,"Err here in Berlin, especially Mitte, it's obviously very, very expensive.",st,English; spaCy invented expensiv,claude-opus-5,foreign word
42,freu,VVFIN,freu,freuen,freuen,"Ich freu mich sehr darauf, von euch zu lesen, und ich freu mich auch, wenn ihr diesem Video einen Daumen nach gebt.",st,clipped freu unreduced by spaCy,claude-opus-5,left unreduced
43,sogenannter,ADJA,sogenannter,sogenannt,sogenannt,Die Auswirkung eines Nahrungsmittels auf das Klima wird oft mithilfe sogenannter Lebenszyklusanalysen betrachtet.,both,convention: sogenannter vs sogenannt,claude-opus-5,convention
44,abstruse,ADJA,abstrus,abstruse,abstrus,"Aber anders als andere abstruse Behauptungen über Impfrisiken wie Autismus oder magnetische Arme, wäre das theoretisch denkbar.",md,Stanza left the adjective inflected,claude-opus-5,left unreduced
45,genervt,ADJD,genervt,nerven,nerven,"Hat total genervt, weil die haben immer dieselbe Melodie gespielt: Was so annoying because they always played the same melody: Düdüdüdüdüdüdüdüdü. Düdüdüdü...",st,hat genervt is the perfect of nerven; spaCy tagged it ADJD,claude-opus-5,wrong reading
46,letzten,ADJA,letzter,letzt,letzt,"Den letzten übernehme ich, meiner!",both,convention: letzter vs letzt,claude-opus-5,convention
47,Anderten,NN,anderten,Andert,Andert,Darüber sprechen wir mit Moritz Anderten.,md,a surname; Stanza mangled it to Andert,claude-opus-5,name
48,Fremdgehen,NN,fremdgehe,Fremdgehen,Fremdgehen,Das ist schon Fremdgehen oder?,st,spaCy invented fremdgehe,claude-opus-5,invented lemma
