n,surface,tag,md_repaired,st,acc,text,verdict,note
1,Praktischeres,NN,praktischeres,Praktischere,Praktischeres,"Wie wär’s, wenn du was Praktischeres mitbringst?",,
2,letzten,ADJA,letzter,letzt,letzt,"""Große Koalition"" passt da vielleicht nicht so ganz, die SPD hat bei der letzten Wahl gerade mal um die 12% bekommen.",,
3,kollidierten,VVFIN,kollidierten,kollidieren,kollidieren,Vor 350 Millionen Jahren kollidierten hier nämlich zwei Kontinente.,,
4,wehzutun,VVPP,wehzutun,wehtun,wehtun,"Einem Hasen wehzutun wäre dann moralisch etwa so verwerflich, wie einen Teddy zu schlagen.",,
5,glaub,ADJD,glaub,glauben,glauben,"Ich glaub, der ist alles egal.",,
6,ersten,ADJA,erster,erst,erst,Die ersten Seiten des Wahlprogramms der FDP nach der Präambel drehen sich komplett um das Thema Bildung.,,
7,Krallenfüße,NN,krallenfüße,Krallenfuß,Krallenfuß,Ich habe Krallenfüße und Krallenfüße sind ungeduldig.,,
8,ne,NN,ne,ein,ein,"Ach seh'n Sie, ne? Naja. Man tut, was man kann, ne? In diesen Zeiten.",,
9,Zweiten,ADJA,zweiter,zweit,zweit,"Als nach dem Zweiten Weltkrieg die DDR dort den Abbau vergrößert und weitere Industrie ansiedelt, wächst das Städtchen zu einer Stadt mit etwa 70.000 Einwohnern.",,
10,Danke,NN,danke,Dank,Dank,"Danke, dass du heute dabei warst.",,
11,Viren,NN,viren,Virus,Virus,"Der sagt, Bakterien oder Viren führen nicht dazu, dass man erkrankt, sondern alle Erkrankungen kommen nur durch irgendwelche psychische Traumen.",,
12,Bitten,NN,bitten,Bitte,Bitte,Sophie und Alexander Schmorell hätten nur einmal auf sein Bitten hin Flugblätter in andere Städte gefahren.,,
13,Verben,NN,verbe,Verb,Verb,"“Deutsch mit Rieke”-Mitglied Jana hat neulich im Mitgliederbereich gefragt, ob ich ein Video über diese Verben mit “setzen” drehen könnte.",,
14,schlag,VVFIN,schlag,schlagen,schlagen,Statt “schlag mich tot” sagt man auch manchmal “schieß mich tot”.,,
15,sogenannten,ADJA,sogenannter,sogenannt,sogenannt,"Im sogenannten Zwei-plus-Vier-Vertrag wurde geregelt, wie das mit dem geeinten Deutschland genau ablaufen soll.",,
16,Neues,NN,neue,Neu,Neu,"Ich bin immer dafür was Neues auszuprobieren, also ich glaub' es gibt am Ende keine Zufälle.",,
17,spitzen,VVFIN,spitzen,spitz,spitz,"In kaum einem anderen Jahr spitzen sich die Entwicklungen so zu, sowohl negativ als auch positiv.",,
18,abzuhängen,VVIZU,abzuhängen,abhängen,abhängen,"Wir müssen versuchen, den Jet abzuhängen.",,
19,geht's,VVFIN,gehen,gehe'en,gehten,"Hey, Sara. Wie geht's dir?",,
20,take,VVFIN,take,taken,take,"Let's take Heiko Maas, OK... (that) was random.",,
21,Mutanten,NN,mutant,Mutante,Mutant,"Momentan haben wir ja den Salat, dass wir Mutanten haben, die nicht weniger schädlich sind, aber ansteckender.",,
22,Weiß,NN,weiße,Weiß,Weiß,Weiß nicht.  - Morgen free man!,,
23,Wurmlöcher,NN,wurmlöcher,Wurmloch,Wurmloch,"Wir könnten näher dran sein als wir vermuten Von außen betrachtet, können Schwarze Löcher und Wurmlöcher sehr ähnlich aussehen.",,
24,Verrückte,ADJA,verrückt,Verrückte,Verrückte,"Ihr könnt gerne in mein Buch schauen, das heißt ""Verrückte Geschichte"".",,
25,warst,VVFIN,warst,sein,sein,Du warst gestern bei einer Therapeutin.,,
26,danke,VVFIN,danke,danken,danken,"Oh, danke! Ich finde deinen Pulli schön.",,
27,willst,VVFIN,willen,wollen,wollen,"Dad, wohin willst du? Wir wollen zu Hause etwas essen.",,
28,böse,ADJD,böse,bös,bös,"Ich dachte, du warst gestern böse auf mich.",,
29,Prozess,NN,prozess,Prozeß,Prozeß,Im Prozess sagt er zunächst nichts.,,
30,zahl,NN,zahln,zahlen,zahlen,Ich zahl schon mal was von meinen Schulden zurück.,,
31,erste,ADJA,erster,erst,erst,"Erstens muss ich zugeben, dass Deutsch die erste Sprache war, die ich mir selber beigebracht habe.",,
32,Krallenfüße,NN,krallenfüße,Krallenfuß,Krallenfuß,Ich habe Krallenfüße und Krallenfüße sind ungeduldig.,,
33,erste,ADJA,erster,erst,erst,"Ja, ich hab gleich meine erste Aufgabe.",,
34,kämpf,VVFIN,kämpf,kämpfen,kämpfen,"Ich kämpf' für dein Zuhause, dann kannst du wieder lachen!",,
35,erste,ADJA,erster,erst,erst,In der zweiten Phase werden Astronauten die erste Mondbasis errichten.,,
36,Weihnachten,NN,weihnachten,Weihnacht,Weihnachten,Kurz vor Weihnachten hatten wir eine Folge zu der Chemie von Butterplätzchen.,,
37,ersten,ADJA,erster,erst,erst,"Das gelingt einmal durch Handel, zum anderen eben durch Raubzüge der ersten.",,
38,geheimnisvollen,ADJA,geheimnisvoll,geheimnisvollen,geheimnisvoll,Viele von ihnen haben einen geheimnisvollen Stein dabei.,,
39,motivierten,ADJA,motiviert,motivieren,motivieren,"Eisner will seinen Rücktritt erklären, wird aber von einem völkisch-antisemitisch motivierten Attentäter ermordet.",,
40,bitte,ADV,bitte,bitten,bitten,Ich hätte gern Baguette bitte.,,
41,expensive,VVFIN,expensiv,expensive,expensive,"Err here in Berlin, especially Mitte, it's obviously very, very expensive.",,
42,freu,VVFIN,freu,freuen,freuen,"Ich freu mich sehr darauf, von euch zu lesen, und ich freu mich auch, wenn ihr diesem Video einen Daumen nach gebt.",,
43,sogenannter,ADJA,sogenannter,sogenannt,sogenannt,Die Auswirkung eines Nahrungsmittels auf das Klima wird oft mithilfe sogenannter Lebenszyklusanalysen betrachtet.,,
44,abstruse,ADJA,abstrus,abstruse,abstrus,"Aber anders als andere abstruse Behauptungen über Impfrisiken wie Autismus oder magnetische Arme, wäre das theoretisch denkbar.",,
45,genervt,ADJD,genervt,nerven,nerven,"Hat total genervt, weil die haben immer dieselbe Melodie gespielt: Was so annoying because they always played the same melody: Düdüdüdüdüdüdüdüdü. Düdüdüdü...",,
46,letzten,ADJA,letzter,letzt,letzt,"Den letzten übernehme ich, meiner!",,
47,Anderten,NN,anderten,Andert,Andert,Darüber sprechen wir mit Moritz Anderten.,,
48,Fremdgehen,NN,fremdgehe,Fremdgehen,Fremdgehen,Das ist schon Fremdgehen oder?,,
49,Witze,NN,witze,Witz,Witz,"Ich kann mir keine Witze merken.” Also: Keine Ahnung, ich kann dir keinen guten Witz erzählen.",,
50,Klimaschutzanliegen,NN,klimaschutzanlieg,Klimaschutzanliegen,Klimaschutzanlieg,Die europäische Ebene adressiert mit verschiedenen Regularien die Umwelt und Klimaschutzanliegen.,,
51,weißt,VVFIN,wissen,weißen,weißen,"Denkst du etwa, du weißt, was besser für meine Schüler ist als ich?",,
52,Abschluss,NN,abschluss,Abschluß,Abschluß,Niemand macht etwas Sinnvolles MIT einem Abschluss.,,
53,überzuwechseln,VVIZU,überzuwechseln,überwechseln,überwechseln,"All das macht es schwer, vom ""Ich-Ohr"", der eigenen Selbstüberzeugtheit, zum ""Du-Ohr"", der nicht- egozentrischen Aufmerksamkeit, überzuwechseln.",,
54,’s,ADV,’s,'s,'s,"Heute geht’s um Verben, die mit verschiedenen Präpositionen stehen können und dadurch ihre Bedeutung verändern.",,
55,liebst,ADV,liebst,lieben,lieben,"Du siehst daus, du liebst mich doch.",,
56,flirte,VVFIN,flirte,flirten,flirten,Ich flirte dich an? - Ja.,,
57,zusammengelümmelt,VVPP,zusammengelümmelt,zusammenlümmeln,zusammenlümmeln,"Dort haben die Schlaumeier vom Dienst, alle ihre Gedanken in komplizierten Schachtelsätzen zusammengelümmelt.",,
58,schlafe,VVFIN,schlafe,schlafen,schlafen,Ja. Und dann schlafe ich erst mal.,,
59,plötzliche,ADJA,plötzliche,plötzlich,plötzlich,"Darf ich fragen, woher dieser plötzliche 180 Umschwung kommt?",,
60,zugehört,VVPP,zugehören,zuhören,zugehören,"Und ich habe mich selber dabei erwischt, dass ich zugehört habe, ob Sie jetzt Ihre Antworten diplomatisch ausdrücken.",,
61,würdet,VMFIN,würdet,werden,werden,"Mal eine kurze Frage: Was würdet ihr sagen, welches Land prägt euren Alltag grade am meisten?",,
62,finsteren,ADJA,finster,finst,finsteren,Sie sind in den finsteren Weiten zwischen den Sternen zu Hause.,,
63,Sagt,VVFIN,sagen,sagt,sagen,"Sagt ihr, da kann man auch heute noch Rückschlüsse daraus ziehen?",,
64,dritten,ADJA,dritter,dritt,dritt,Vermutlich allerdings nur mit einem dritten Koalitionspartner.,,
65,Zuschauen,NN,Zuschauen,Zuschaue,Zuschauen,Danke für's Zuschauen und bis nächste Woche. Tschüüß!,,
66,kaufst,VVFIN,kaufst,kaufen,kaufen,Du kaufst immer so etwas.,,
67,Anlass,NN,anlass,Anlaß,Anlaß,"Das können wir auch daran sehen, dass ""anlässlich"" von dem Nomen ""der Anlass"" kommt.",,
68,Fakten,NN,fakt,Faktum,Faktum,"Mit dem Futur I drückt man aber aus, dass es sich um eine Prognose handelt, also nicht wirklich um Fakten.",,
69,Denne,ADV,denne,denner,Denn,"Denne sind am Arsch wahrscheinlich, aber du hast mich auch nicht erkannt.",,
70,früher,ADJD,früh,früher,früher,Und der Bundeskanzler deutlich weniger Macht als der Reichspräsident früher.,,
71,genieß,VVFIN,genieß,genießen,genießen,Also da bin ich dann oft lieber im Ausland und... und genieß' die Sonne ein bisschen mehr.,,
72,meine,VVFIN,meinen,mein,mein,"Du hast Ich meine, sie hat dir gezeigt, was in dir steckt.",,
73,erstes,ADJA,erster,erst,erst,Wen wollt ihr als erstes sehen?,,
74,E-Scootern,NN,e-scootern,E-Scooter,E-Scooter,"Autoped der Ur-Ur-Ur-Ur-Vorfahre von unserem heutigen E-Scootern, produziert ab 1915.",,
75,Indische,NN,indische,indisch,indisch,"Eine Sprachfamilie, zu der neben Deutsch auch das Indische, das Iranische oder Polnisch gehören.",,
76,Traumen,NN,traumus,Trauma,Trauma,"Der sagt, Bakterien oder Viren führen nicht dazu, dass man erkrankt, sondern alle Erkrankungen kommen nur durch irgendwelche psychische Traumen.",,
77,habitablen,ADJA,habitabl,habitabel,habitabel,"Viele von ihnen befinden sich sogar in der habitablen Zone, in der Wasser flüssig ist.",,
78,gleiche,ADJA,gleich,gleichen,gleichen,"Wer jetzt noch wissen will, warum man ""dasselbe"" zusammen-, aber ""das gleiche"" getrennt schreibt: Aufgepasst!",,
79,Fortgeschrittene,NN,fortgeschrittene,Fortgeschrittener,Fortgeschrittener,Mehr Videos über deutsche Verben für Fortgeschrittene findet ihr in meiner Playlist.,,
80,lass,VVFIN,lassen,laß,laß,"Einsteins Idee war: Dann lass doch einfach checken, ob wir bestimmte Sterne in ihrer Position verschoben sehen, wenn die Sonne zwischen ihnen und uns steht.",,
81,Toten,NN,tote,tot,tot,"Es wird schon mit Sprechgesang experimentiert weit im Voraus, etwa von Falco oder von den Toten Hosen.",,
82,überwanden,VVINF,überwanden,überwinden,überwinden,"Der Moment, in dem Einsamkeit und Begehren die Vorsicht überwanden.",,
83,reingeht,VVFIN,reingeht,reingehen,reingehen,"Aber auch wenn man hier reingeht, dahinten, da ist da das Café Blau.",,
84,Dativpronomen,NN,dativpronom,Dativpronomen,Dativpronomen,"Wenn ihr zu diesem Thema noch etwas mehr üben möchtet, vor allem diese Dativpronomen üben möchtet, dann schaut euch doch mal unsere interaktiven Übungen an.",,
85,wegzogen,NN,wegzog,wegziehen,wegziehen,"Wir wissen nur, dass ihre Kultur unterging und sie entweder wegzogen oder ausstarben.",,
86,gab's,VVFIN,gab's,gabe'n,gab'en,"Na ja, in der Familie gab's mal einen Fall, Well, there was a case in the family wo jemand sein Konto, ähm...",,
87,schlaf,VVFIN,schlaf,schlafen,schlafen,Am Sonntag schlaf ich aus.,,
88,willst,VMFIN,willen,wollen,wollen,"Ich verrate dir das, was du unbedingt wissen willst.",,
89,Coronavirus,NN,coronaviru,Coronavirus,Coronavirus,"Das ist, wenn man das mit der Verbreitungsgeschwindigkeit des Coronavirus' vergleicht, eine lange Zeit.",,
90,Gesegnete,ADJA,gesegnete,gesegnet,gesegnen,"Das hat also ursprünglich einen religiösen Kontext und man hat dann zum Mittagessen gesagt ""Gesegnete Mahlzeit"".",,
91,letzten,ADJA,letzter,letzt,letzt,"Äh, sie haben übrigens beim letzten Mal gesagt, dass solche Briefe für Sie sehr stressig sind.",,
92,rechten,ADJA,rechter,recht,recht,"Weil ich ja hier die Stabilität im rechten Bein hab, wenn ich dann das Bein wegnehme.",,
93,harmloser,ADJD,harmloser,harmlos,harmlos,"Dann werden vor allem dramatische und alarmierende Schlagzeilen formuliert, deren Inhalt weitaus harmloser ist.",,
94,allererste,ADJA,allererster,allererste,allererste,Und so sieht das allererste Exemplar des Grundgesetzes von 1949 aus.,,
95,weiter,ADV,weiter,weit,weit,In der Latènezeit breitet sich die keltische Kultur immer weiter aus.,,
96,letzten,ADJA,letzter,letzt,letzt,Erinnert ihr euch noch unsere Eröffnungsbilanz vom letzten Video?,,
97,Neues,NN,neue,Neu,Neu,"wenn man nichts Neues erleben möchte, when you don't want to experience anything new weil dann wird's irgendwann langweilig.",,
98,erste,ADJA,erster,erst,erst,"Das erste ""ne"" ist wieder 'ne Abkürzung für einen Artikel.",,
99,Unterhause,NN,unterhause,Unterhaus,Unterhaus,Ich brauche gleich ein neues Unterhause.,,
100,Findet,VVFIN,finden,Findet,findet,Findet ihr oben auf dem I verlinkt.,,
101,darfst,VMFIN,darfst,dürfen,dürfen,Du darfst die Leitung nicht loslassen.,,
102,’s,NN,’s,'s,'s,Da findet ihr eine Playlist und direkt darunter gibt’s ein weiteres Video zu einem anderen spannenden Thema.,,
103,Danke,NN,danke,Dank,Dank,Danke für eure Meinungen und fürs Zuschauen.,,
104,Frittaten,NN,frittat,Frittate,Frittate,"Und das ist eine ganz beliebte österreichische Suppeneinlage und das nennt sich ""Frittaten"".",,
105,ersten,ADJA,erster,erst,erst,"Das bedeutet, dass immer am ersten Tag des Monats die Miete an meinen Vermieter überwiesen wird.",,
106,betrügst,VVFIN,betrügst,betragen,betrügen,"Ich sage Ed nicht, dass du ihn betrügst.",,
107,ersten,ADJA,erster,erst,erst,Ich liebe dich genauso wie am ersten Tag.,,
108,Aufgepasst,NN,aufgepasst,aufpassen,aufpassen,"Aufgepasst! Bei manchen Ländern benutzt man ""in"".",,
109,find,VVFIN,find,finden,finden,"Ja? - Ja, find' ich schon.",,
110,Verben,NN,verbe,Verb,Verb,In diesen Beispielen waren die Verben mit “zer-” transitiv.,,
111,issä,ADV,issä,essen,issen,"Äh so halb Stund, ich issä mega langsam.",,
112,Scheitert,VVFIN,scheitert,scheitern,Scheitern,"Und deshalb sage ich: Scheitert der Euro, dann scheitert Europa.",,
113,herauszufinden,VVIZU,herauszufinden,herausfinden,herausfinden,"Virenjäger bringen Proben zurück ins Labor, um herauszufinden, ob ein neu entdecktes Virus Menschen anstecken könnte, und um die Gefahr zu katalogisieren.",,
114,written,ADJD,written,wreiten,written,You slip back into... written German.,,
115,dritter,ADJA,dritter,dritt,dritt,"Und ein dritter Punkt war, dass er wirtschaftliche Verbesserung zugesagt hat.",,
116,nächsten,ADJA,nächster,nah,nah,"Und da sind wir auch schon direkt beim nächsten Punkt, genauer gesagt, bei der nächsten Frage.",,
117,Weißt,VVFIN,wissen,weißen,wissen,"Weißt du Shreyan, wir haben ja eine lange Tradition in Deutschland mit fremden Küchen, ne? - Ja.",,
