set,sentence,position,surface,gold,tag,found,md,ok_md,md_repaired,ok_md_repaired,st,ok_st,acc,ok_acc
overrides,"Muss man ja. Aber Sie auch, wenn Sie so'n Job machen hier, das finde ich toll! - Danke schön!",initial,Muss,müssen,VMFIN,1,Muss,0,müssen,1,Muss,0,Muss,0
overrides,Irgendjemand muss ja auf dich aufpassen.,mid,muss,müssen,VMFIN,1,mussen,0,müssen,1,müssen,1,müssen,1
overrides,"Aber wer krank ist, muss doch nicht fasten.",mid,muss,müssen,VMFIN,1,muss,0,müssen,1,müssen,1,müssen,1
overrides,"Ich will morgen zurück zur Firma, ich muss etwas überprüfen.",mid,muss,müssen,VMFIN,1,muss,0,müssen,1,müssen,1,müssen,1
overrides,"Musst du nicht arbeiten oder so? Nö, ich habe doch Urlaub.",initial,Musst,müssen,VVFIN,1,Musst,0,müssen,1,müssen,1,Müssen,1
overrides,"Die zeigt dir, wann du wieder zur Hauptuntersuchung musst.",mid,musst,müssen,VMFIN,1,musstn,0,müssen,1,müssen,1,müssen,1
overrides,"Um eine Steuererklärung mit WISO Steuer erstellen zu können, musst du als Erstes einen kostenlosen Account erstellen.",mid,musst,müssen,VMFIN,1,musst,0,müssen,1,müssen,1,müssen,1
overrides,"Du musst mir das nicht noch unter die Nase reiben!“ Das bedeutet also: Du musst mich nicht noch daran erinnern, dass meine Frisur schlecht aussieht.",mid,musst,müssen,VMFIN,1,musst,0,müssen,1,müssen,1,müssen,1
overrides,Soll ich für dich gucken?,initial,Soll,sollen,VMFIN,1,sollen,1,sollen,1,sollen,1,sollen,1
overrides,Wo soll's denn mit eurer Forschung oder auch mit dem Sojaanbau in Deutschland allgemein hingehen?,mid,soll,sollen,,0,,,,,,,,
overrides,Oh. Soll ich es für dich halten?,mid,Soll,sollen,VMFIN,1,sollen,1,sollen,1,sollen,1,sollen,1
overrides,"Als wäre das nicht kompliziert genug, gibt es noch eine Art Aufseher von außerhalb, der schaut, ob im Land alles so läuft, wie es soll.",mid,soll,sollen,VMFIN,1,sollen,1,sollen,1,sollen,1,sollen,1
overrides,Hab schon viel von Ihnen gehört.,initial,Hab,haben,VAFIN,1,hab,0,haben,1,haben,1,haben,1
overrides,Ich hab mich gefragt: Warum ist uns das vergleichsweise so egal?,mid,hab,haben,VAFIN,1,hab,0,haben,1,haben,1,haben,1
overrides,"Nein, ich hab heute Spätschicht.",mid,hab,haben,VAFIN,1,hab,0,haben,1,haben,1,haben,1
overrides,"Ich hab' keine Ah... ich hab' keine Ahnung, I have no... I have no idea, 300 Euro vielleicht, 400, 500 Euro.",mid,hab,haben,VAFIN,1,habn,0,haben,1,haben,1,haben,1
overrides,Lass gerne ein Abo da und gib mir einen Daumen nach oben.,initial,Lass,lassen,VVIMP,1,Lass,0,lassen,1,laß,0,lassen,1
overrides,Ist heute anscheinend der lass es dir eine Lehre sein Tag. verflucht.,mid,lass,lassen,VVFIN,1,lass,0,lassen,1,laß,0,laß,0
overrides,Bitte lass meine Eltern endlich gehen.,mid,lass,lassen,VVFIN,1,lassn,0,lassen,1,laß,0,laß,0
overrides,"Okay, lass uns schnell zu Österreich.",mid,lass,lassen,VMFIN,1,lass,0,lassen,1,laß,0,laß,0
overrides,"Sag ihm, wer du wirklich bist!",initial,Sag,sagen,VVFIN,1,sag,0,sagen,1,sag,0,Sagen,1
overrides,Ich sag dir was das ist und du musst das mit Akkusativ beantworten.,mid,sag,sagen,VVFIN,1,sag,0,sagen,1,sagen,1,sagen,1
