text,stored_top,stored_expected,stored,n,a_top,a_expected,a,a_tokens,b_top,b_expected,b,b_tokens,model
Ein scheinbar ewiger Kreislauf des Entstehens und Vergehens.,C1,3.63,"{""A2"": 0.0, ""A1"": 0.0, ""C1"": 0.74, ""B1"": 0.11, ""B2"": 0.15}",1,C1,3.75,"{""A2"": 0.0, ""A1"": 0.0, ""B1"": 0.06, ""C1"": 0.81, ""B2"": 0.13}",497,B1,2.75,"{""A1"": 0.0, ""C1"": 0.28, ""B1"": 0.47, ""A2"": 0.03, ""B2"": 0.22}",156.2,jev-1.13.0
"Ja, er lebt im Norden.",A1,0.01,"{""B2"": 0.0, ""A2"": 0.01, ""C1"": 0.0, ""B1"": 0.0, ""A1"": 0.99}",2,A1,0.01,"{""B1"": 0.0, ""C1"": 0.0, ""A2"": 0.01, ""B2"": 0.0, ""A1"": 0.99}",486,A1,0.06,"{""A1"": 0.94, ""C1"": 0.0, ""B2"": 0.0, ""B1"": 0.0, ""A2"": 0.06}",156.2,jev-1.13.0
Und damit kommen wir zu Spiel Nummer vier.,A1,0.72,"{""C1"": 0.0, ""A2"": 0.37, ""B2"": 0.01, ""B1"": 0.16, ""A1"": 0.46}",3,A2,1.1,"{""A2"": 0.47, ""B1"": 0.3, ""A1"": 0.22, ""C1"": 0.0, ""B2"": 0.01}",488,A1,0.62,"{""A1"": 0.49, ""C1"": 0.0, ""B1"": 0.09, ""A2"": 0.41, ""B2"": 0.01}",156.2,jev-1.13.0
"Die Regierung hätte gar keine Mehrheit mehr, was spätestens dann kompliziert würde, wenn es darum geht, einen Haushalt zu verabschieden.",B2,3.0,"{""A1"": 0.0, ""C1"": 0.0, ""A2"": 0.0, ""B2"": 1.0, ""B1"": 0.0}",4,B2,3.01,"{""A2"": 0.0, ""B1"": 0.0, ""A1"": 0.0, ""B2"": 0.99, ""C1"": 0.01}",508,B2,2.99,"{""A1"": 0.0, ""C1"": 0.0, ""B2"": 0.99, ""B1"": 0.01, ""A2"": 0.0}",156.2,jev-1.13.0
Hier unten gibt es noch ein Video mit Mirko.,A1,0.32,"{""A2"": 0.26, ""B1"": 0.03, ""A1"": 0.71, ""B2"": 0.0, ""C1"": 0.0}",5,A1,0.3,"{""C1"": 0.0, ""B2"": 0.0, ""A1"": 0.74, ""B1"": 0.04, ""A2"": 0.22}",490,A1,0.16,"{""A1"": 0.85, ""C1"": 0.0, ""B2"": 0.0, ""B1"": 0.01, ""A2"": 0.14}",156.2,jev-1.13.0
Ich muss doch sauber machen.,A2,0.7,"{""A2"": 0.7, ""A1"": 0.3, ""B1"": 0.0, ""C1"": 0.0, ""B2"": 0.0}",6,A2,0.65,"{""B2"": 0.0, ""A2"": 0.65, ""B1"": 0.0, ""A1"": 0.35, ""C1"": 0.0}",485,A1,0.41,"{""A1"": 0.59, ""C1"": 0.0, ""B1"": 0.0, ""A2"": 0.41, ""B2"": 0.0}",156.2,jev-1.13.0
Daniel Aßmann fährt durch eine wunderschöne Landschaft.,A1,0.47,"{""C1"": 0.0, ""B1"": 0.03, ""A1"": 0.56, ""A2"": 0.41, ""B2"": 0.0}",7,A2,0.64,"{""B2"": 0.0, ""C1"": 0.0, ""A2"": 0.5, ""B1"": 0.07, ""A1"": 0.43}",493,A1,0.42,"{""A1"": 0.63, ""C1"": 0.0, ""B2"": 0.0, ""B1"": 0.05, ""A2"": 0.32}",156.2,jev-1.13.0
Ich mach die Wäsche gerade.,A1,0.05,"{""C1"": 0.0, ""A2"": 0.05, ""B2"": 0.0, ""B1"": 0.0, ""A1"": 0.95}",8,A1,0.04,"{""B1"": 0.0, ""A1"": 0.96, ""B2"": 0.0, ""C1"": 0.0, ""A2"": 0.04}",487,A1,0.02,"{""A1"": 0.98, ""C1"": 0.0, ""B1"": 0.0, ""A2"": 0.02, ""B2"": 0.0}",156.2,jev-1.13.0
"Sie sind in Vereinen engagiert, machen Politik.",A2,1.08,"{""A1"": 0.25, ""B1"": 0.31, ""B2"": 0.01, ""A2"": 0.43, ""C1"": 0.0}",9,A2,1.19,"{""A2"": 0.46, ""B1"": 0.35, ""C1"": 0.0, ""A1"": 0.18, ""B2"": 0.01}",490,A2,0.82,"{""A1"": 0.32, ""C1"": 0.0, ""B2"": 0.01, ""B1"": 0.12, ""A2"": 0.55}",156.2,jev-1.13.0
Ich gehe auf jemanden zu und nehme mit ihm oder ihr Kontakt auf.,A2,1.06,"{""C1"": 0.0, ""A1"": 0.22, ""B1"": 0.26, ""A2"": 0.51, ""B2"": 0.01}",10,A2,1.09,"{""C1"": 0.0, ""B1"": 0.29, ""A1"": 0.2, ""A2"": 0.51, ""B2"": 0.0}",496,A2,1.16,"{""A1"": 0.18, ""C1"": 0.0, ""B2"": 0.01, ""B1"": 0.32, ""A2"": 0.49}",156.2,jev-1.13.0
"Nehmen wir zum Beispiel mal meinen Namen, Lisa.",A1,0.43,"{""C1"": 0.0, ""B1"": 0.08, ""A2"": 0.24, ""A1"": 0.67, ""B2"": 0.01}",11,A1,0.51,"{""C1"": 0.0, ""A2"": 0.34, ""B1"": 0.07, ""A1"": 0.58, ""B2"": 0.01}",491,A1,0.24,"{""A1"": 0.79, ""C1"": 0.0, ""B1"": 0.03, ""A2"": 0.18, ""B2"": 0.0}",156.2,jev-1.13.0
"Lasst uns ein bisschen diskutieren, unten in den Kommentaren.",A1,0.82,"{""B2"": 0.01, ""A1"": 0.39999999999999997, ""A2"": 0.39, ""B1"": 0.2, ""C1"": 0.0}",12,A2,0.98,"{""A2"": 0.49, ""B1"": 0.23, ""A1"": 0.27, ""C1"": 0.0, ""B2"": 0.01}",495,A1,0.61,"{""A1"": 0.47, ""C1"": 0.0, ""A2"": 0.45, ""B2"": 0.0, ""B1"": 0.08}",156.2,jev-1.13.0
Und das ist in der Regel nicht leicht.,A1,0.74,"{""A1"": 0.45999999999999996, ""C1"": 0.0, ""B1"": 0.18, ""B2"": 0.01, ""A2"": 0.35}",13,A2,1.02,"{""B1"": 0.24, ""C1"": 0.0, ""A2"": 0.51, ""B2"": 0.01, ""A1"": 0.24}",488,A2,0.91,"{""A1"": 0.29, ""C1"": 0.0, ""B2"": 0.01, ""B1"": 0.18, ""A2"": 0.52}",156.2,jev-1.13.0
"Aktuell liegt er bei ungefähr 75 Prozent, aber auch das ist noch ein enorm hoher Wert.",B1,2.14,"{""C1"": 0.0, ""A2"": 0.02, ""B2"": 0.16, ""B1"": 0.82, ""A1"": 0.0}",14,B1,2.12,"{""C1"": 0.0, ""B1"": 0.86, ""A2"": 0.01, ""A1"": 0.0, ""B2"": 0.13}",500,B1,1.89,"{""A1"": 0.0, ""C1"": 0.0, ""A2"": 0.25, ""B2"": 0.14, ""B1"": 0.61}",156.2,jev-1.13.0
Grönland ist seit deren Gründung mit Dänemark auch zusammen Mitglied der NATO.,B2,2.56,"{""A1"": 0.0, ""B1"": 0.45, ""A2"": 0.01, ""B2"": 0.51, ""C1"": 0.03}",15,B2,2.54,"{""C1"": 0.02, ""B1"": 0.46, ""A1"": 0.0, ""A2"": 0.01, ""B2"": 0.51}",499,B2,2.5,"{""A1"": 0.0, ""C1"": 0.03, ""B1"": 0.45, ""A2"": 0.04, ""B2"": 0.48}",156.2,jev-1.13.0
"Stellt euch vor, jemand hält eine Rede und sagt darin etwas, das ihr gut findet.",B1,2.11,"{""A2"": 0.03, ""A1"": 0.01, ""B1"": 0.8, ""B2"": 0.16, ""C1"": 0.0}",16,B1,2.13,"{""C1"": 0.0, ""B1"": 0.74, ""B2"": 0.2, ""A2"": 0.05, ""A1"": 0.01}",498,B1,1.84,"{""A1"": 0.02, ""C1"": 0.0, ""B2"": 0.09, ""B1"": 0.68, ""A2"": 0.21}",156.2,jev-1.13.0
