group,rule,text,n,stands_alone,complete,standard,well_formed,expression,model,input_tokens,seconds
no_verb,no finite verb,"So welche, die schädliche Giftstoffe in reine Zellulose umwandeln.",1,0.15,0.24,0.48,0.23,0.18,jev-1.13.0,1018,0.69
no_verb,no finite verb,Ins Service oder sonstige Dinge.,2,0.32,0.47,0.53,0.25,0.13,jev-1.13.0,981,0.35
no_verb,no finite verb,Sieben Präpositionen und nur drei mögliche Endungen!,3,0.75,0.84,0.94,0.91,0.08,jev-1.13.0,1007,0.26
no_verb,no finite verb,Mit Folgen auch für die Produktion von Autos.,4,0.24,0.4,0.86,0.73,0.16,jev-1.13.0,995,0.26
no_verb,no finite verb,"Manche eher negativ, andere eher positiv.",5,0.32,0.77,0.91,0.86,0.12,jev-1.13.0,992,0.25
no_verb,no finite verb,Deine Glug so we zum verwechseln ähnlich.,6,0.37,0.87,0.18,0.16,0.79,jev-1.13.0,1002,0.3
no_verb,no finite verb,Selbe Tendenz bisher beim Gendersternchen.,7,0.25,0.75,0.71,0.8,0.27,jev-1.13.0,992,0.32
no_verb,no finite verb,"Bitte Stanley, für mich alles, aber das nicht.",8,0.33,0.93,0.8,0.8,0.26,jev-1.13.0,999,0.26
no_verb,no finite verb,"Mit Papa, mit deinem kleinen Bruder.",9,0.43,0.57,0.82,0.69,0.1,jev-1.13.0,988,0.29
no_verb,no finite verb,"Und die Wohnung einzurichten, aufzuräumen.",10,0.54,0.41,0.81,0.67,0.11,jev-1.13.0,992,0.27
no_verb,no finite verb,"Vielen Dank, gemeinsame Antwortzeit circa drei Minuten.",11,0.68,0.87,0.69,0.49,0.74,jev-1.13.0,1003,0.28
no_verb,no finite verb,"Zum anderen aber auch, Russland davon abzuhalten, sich zu eng an China zu binden.",12,0.2,0.39,0.76,0.61,0.66,jev-1.13.0,1038,0.36
no_verb,no finite verb,"Hallo Yara, das Gleiche wie immer?",13,0.53,0.91,0.9,0.92,0.55,jev-1.13.0,990,0.3
